context,word,human_rank,model_value,model_rank,model,prompt_id,generation_prompt,sampling_logp,sampling_probability,sampling_vocab_rank,sampling_word_rank
cold,blankets,2,-11.791768074035645,5.0,Qwen2-7B,prompt_e5b13e89443f16745c5d,"You and your friend Kennedy rent a small cabin in the mountains for a weekend. When you arrive, you shiver and say 'I'm freezing!' Kennedy looks around the cabin and responds, 'Sure, they have a ",-15.614652633666992,5.141352008367422e-06,5416,6.0
cold,fridge,6,-7.0730180740356445,2.0,Qwen2-7B,prompt_e5b13e89443f16745c5d,"You and your friend Kennedy rent a small cabin in the mountains for a weekend. When you arrive, you shiver and say 'I'm freezing!' Kennedy looks around the cabin and responds, 'Sure, they have a ",-12.755277633666992,8.97197642048766e-05,826,3.0
cold,heater,1,-1.6980178356170654,1.0,Qwen2-7B,prompt_e5b13e89443f16745c5d,"You and your friend Kennedy rent a small cabin in the mountains for a weekend. When you arrive, you shiver and say 'I'm freezing!' Kennedy looks around the cabin and responds, 'Sure, they have a ",-6.942777156829834,0.030007167787726705,6,1.0
cold,microwave,4,-7.8855180740356445,3.0,Qwen2-7B,prompt_e5b13e89443f16745c5d,"You and your friend Kennedy rent a small cabin in the mountains for a weekend. When you arrive, you shiver and say 'I'm freezing!' Kennedy looks around the cabin and responds, 'Sure, they have a ",-10.755277633666992,0.0006629443708926633,150,2.0
cold,sink,5,-9.229268074035645,4.0,Qwen2-7B,prompt_e5b13e89443f16745c5d,"You and your friend Kennedy rent a small cabin in the mountains for a weekend. When you arrive, you shiver and say 'I'm freezing!' Kennedy looks around the cabin and responds, 'Sure, they have a ",-13.505277633666992,4.238061573019425e-05,1470,4.0
cold,tea,3,-12.151143074035645,6.0,Qwen2-7B,prompt_e5b13e89443f16745c5d,"You and your friend Kennedy rent a small cabin in the mountains for a weekend. When you arrive, you shiver and say 'I'm freezing!' Kennedy looks around the cabin and responds, 'Sure, they have a ",-14.942777633666992,1.0066278562005595e-05,3605,5.0
cut,batteries,6,-10.274754524230955,5.0,Qwen2-7B,prompt_dae5a23e82f8085cc86d,"You and your friend Blair come back from a long day shopping. You want to try on your new sweater, and you tell Blair, 'I want to remove this tag.' Blair looks through some drawers and responds, 'Sure, I have my ",-9.968284606933594,0.00014074858617242527,554,5.0
cut,keys,3,-7.649754524230957,4.0,Qwen2-7B,prompt_dae5a23e82f8085cc86d,"You and your friend Blair come back from a long day shopping. You want to try on your new sweater, and you tell Blair, 'I want to remove this tag.' Blair looks through some drawers and responds, 'Sure, I have my ",-7.327659606933594,0.0019735716924596937,53,3.0
cut,nail clippers,2,-5.54164442961337,2.0,Qwen2-7B,prompt_dae5a23e82f8085cc86d,"You and your friend Blair come back from a long day shopping. You want to try on your new sweater, and you tell Blair, 'I want to remove this tag.' Blair looks through some drawers and responds, 'Sure, I have my ",-6.5777692794799805,0.004177593113323865,31,2.0
cut,scissors,1,-1.243504285812378,1.0,Qwen2-7B,prompt_dae5a23e82f8085cc86d,"You and your friend Blair come back from a long day shopping. You want to try on your new sweater, and you tell Blair, 'I want to remove this tag.' Blair looks through some drawers and responds, 'Sure, I have my ",-2.8901596069335938,0.16689167396111912,1,1.0
cut,stapler,5,-6.256981228478253,3.0,Qwen2-7B,prompt_dae5a23e82f8085cc86d,"You and your friend Blair come back from a long day shopping. You want to try on your new sweater, and you tell Blair, 'I want to remove this tag.' Blair looks through some drawers and responds, 'Sure, I have my ",-7.937116622924805,0.0010729243168881258,94,4.0
cut,thumb tacks,4,-13.499249899759889,6.0,Qwen2-7B,prompt_dae5a23e82f8085cc86d,"You and your friend Blair come back from a long day shopping. You want to try on your new sweater, and you tell Blair, 'I want to remove this tag.' Blair looks through some drawers and responds, 'Sure, I have my ",-13.92990779876709,2.6787547209637187e-06,6968,6.0
fridge,juice,2,-4.549657344818115,2.0,Qwen2-7B,prompt_ef7471913f47082a0d86,"You and your friend Sam go for a long walk together. After the walk, you go back to Sam's house. You say to Sam, 'I'm thirsty.' Sam opens the fridge and responds, 'Sure, I have ",-10.850831985473633,0.0031047558164094312,34,3.0
fridge,ketchup,5,-12.45335054397583,5.0,Qwen2-7B,prompt_ef7471913f47082a0d86,"You and your friend Sam go for a long walk together. After the walk, you go back to Sam's house. You say to Sam, 'I'm thirsty.' Sam opens the fridge and responds, 'Sure, I have ",-15.957159042358398,1.880952315409678e-05,1092,6.0
fridge,meat,6,-13.690282821655272,6.0,Qwen2-7B,prompt_ef7471913f47082a0d86,"You and your friend Sam go for a long walk together. After the walk, you go back to Sam's house. You say to Sam, 'I'm thirsty.' Sam opens the fridge and responds, 'Sure, I have ",-14.725831985473633,6.443715122909582e-05,477,5.0
fridge,milk,3,-6.112157344818115,3.0,Qwen2-7B,prompt_ef7471913f47082a0d86,"You and your friend Sam go for a long walk together. After the walk, you go back to Sam's house. You say to Sam, 'I'm thirsty.' Sam opens the fridge and responds, 'Sure, I have ",-10.100831985473633,0.006572768114917064,20,2.0
fridge,water,1,-2.8621573448181152,1.0,Qwen2-7B,prompt_ef7471913f47082a0d86,"You and your friend Sam go for a long walk together. After the walk, you go back to Sam's house. You say to Sam, 'I'm thirsty.' Sam opens the fridge and responds, 'Sure, I have ",-6.975832462310791,0.14959544143690762,2,1.0
fridge,yogurt,4,-10.924657821655272,4.0,Qwen2-7B,prompt_ef7471913f47082a0d86,"You and your friend Sam go for a long walk together. After the walk, you go back to Sam's house. You say to Sam, 'I'm thirsty.' Sam opens the fridge and responds, 'Sure, I have ",-14.100831985473633,0.00012038444729220702,317,4.0
gym,basketball,1,-1.992067217826844,1.0,Qwen2-7B,prompt_0dd418b630c0593430bc,"You and your friend Lee are registering for classes at a fitness center. You say to Lee, 'Let's sign up for some team sports.' Lee looks at the list of classes and responds, 'Sure, they have ",-6.147742748260498,0.15059327574510725,1,1.0
gym,lacrosse,3,-6.743963945307769,4.0,Qwen2-7B,prompt_0dd418b630c0593430bc,"You and your friend Lee are registering for classes at a fitness center. You say to Lee, 'Let's sign up for some team sports.' Lee looks at the list of classes and responds, 'Sure, they have ",-11.212614059448242,0.0009509548949980552,106,5.0
gym,meditation,6,-10.304567337036133,6.0,Qwen2-7B,prompt_0dd418b630c0593430bc,"You and your friend Lee are registering for classes at a fitness center. You say to Lee, 'Let's sign up for some team sports.' Lee looks at the list of classes and responds, 'Sure, they have ",-15.460243225097656,1.3596840733472776e-05,1580,6.0
gym,softball,2,-4.429567337036133,2.0,Qwen2-7B,prompt_0dd418b630c0593430bc,"You and your friend Lee are registering for classes at a fitness center. You say to Lee, 'Let's sign up for some team sports.' Lee looks at the list of classes and responds, 'Sure, they have ",-7.397742748260498,0.04314569587586255,5,2.0
gym,swimming,4,-5.242067337036133,3.0,Qwen2-7B,prompt_0dd418b630c0593430bc,"You and your friend Lee are registering for classes at a fitness center. You say to Lee, 'Let's sign up for some team sports.' Lee looks at the list of classes and responds, 'Sure, they have ",-10.522743225097656,0.0018956886718984813,60,4.0
gym,weightlifting,5,-8.236650735139847,5.0,Qwen2-7B,prompt_0dd418b630c0593430bc,"You and your friend Lee are registering for classes at a fitness center. You say to Lee, 'Let's sign up for some team sports.' Lee looks at the list of classes and responds, 'Sure, they have ",-10.455034255981445,0.002028488951230301,57,3.0
hot,blankets,5,-10.317879676818848,5.0,Qwen2-7B,prompt_6aa492960e929d0d9716,"You and your friend Grayson visit his grandparents' lake house after hiking on a hot summer day. You tell Grayson, 'It's sweltering in here!' Grayson talks to his grandparents and responds, 'Sure, they have their ",-15.082161903381348,2.8265595084705787e-06,4301,6.0
hot,couch,4,-11.536629676818848,6.0,Qwen2-7B,prompt_6aa492960e929d0d9716,"You and your friend Grayson visit his grandparents' lake house after hiking on a hot summer day. You tell Grayson, 'It's sweltering in here!' Grayson talks to his grandparents and responds, 'Sure, they have their ",-13.238411903381348,1.7864406163023496e-05,1244,5.0
hot,fan,1,-5.317880153656006,1.0,Qwen2-7B,prompt_6aa492960e929d0d9716,"You and your friend Grayson visit his grandparents' lake house after hiking on a hot summer day. You tell Grayson, 'It's sweltering in here!' Grayson talks to his grandparents and responds, 'Sure, they have their ",-6.519662380218506,0.014787829255547167,9,1.0
hot,heater,6,-5.442880153656006,2.0,Qwen2-7B,prompt_6aa492960e929d0d9716,"You and your friend Grayson visit his grandparents' lake house after hiking on a hot summer day. You tell Grayson, 'It's sweltering in here!' Grayson talks to his grandparents and responds, 'Sure, they have their ",-7.894662380218506,0.003738948771802152,24,2.0
hot,pool,2,-9.255379676818848,3.0,Qwen2-7B,prompt_6aa492960e929d0d9716,"You and your friend Grayson visit his grandparents' lake house after hiking on a hot summer day. You tell Grayson, 'It's sweltering in here!' Grayson talks to his grandparents and responds, 'Sure, they have their ",-11.394661903381348,0.00011290652349652936,305,3.0
hot,shower,3,-9.942879676818848,4.0,Qwen2-7B,prompt_6aa492960e929d0d9716,"You and your friend Grayson visit his grandparents' lake house after hiking on a hot summer day. You tell Grayson, 'It's sweltering in here!' Grayson talks to his grandparents and responds, 'Sure, they have their ",-11.707161903381348,8.260417720009212e-05,393,4.0
mall,burger joint,1,-7.668480098247528,3.0,Qwen2-7B,prompt_3622b2dc937ddcfab3b3,"You and your friend Alex are hanging out in a newly opened shopping mall. You say to Alex, 'Let's get lunch!' Alex looks at the map of the mall and responds, 'Sure, this mall has a ",-9.6065673828125,0.0012596207479891781,67,2.0
mall,coffee shop,3,-7.462247684597969,1.0,Qwen2-7B,prompt_3622b2dc937ddcfab3b3,"You and your friend Alex are hanging out in a newly opened shopping mall. You say to Alex, 'Let's get lunch!' Alex looks at the map of the mall and responds, 'Sure, this mall has a ",-8.542173385620117,0.0036517433335170662,28,1.0
mall,electronics store,6,-16.099086448550224,6.0,Qwen2-7B,prompt_3622b2dc937ddcfab3b3,"You and your friend Alex are hanging out in a newly opened shopping mall. You say to Alex, 'Let's get lunch!' Alex looks at the map of the mall and responds, 'Sure, this mall has a ",-19.337921142578125,7.481119055905365e-08,19816,6.0
mall,gift shop,5,-12.50095871090889,5.0,Qwen2-7B,prompt_3622b2dc937ddcfab3b3,"You and your friend Alex are hanging out in a newly opened shopping mall. You say to Alex, 'Let's get lunch!' Alex looks at the map of the mall and responds, 'Sure, this mall has a ",-15.232914924621582,4.536784127813814e-06,2986,4.0
mall,grocery store,4,-7.62296705879271,2.0,Qwen2-7B,prompt_3622b2dc937ddcfab3b3,"You and your friend Alex are hanging out in a newly opened shopping mall. You say to Alex, 'Let's get lunch!' Alex looks at the map of the mall and responds, 'Sure, this mall has a ",-9.615062713623047,0.0012489651784182887,68,3.0
mall,pretzel stand,2,-12.26747426390648,4.0,Qwen2-7B,prompt_3622b2dc937ddcfab3b3,"You and your friend Alex are hanging out in a newly opened shopping mall. You say to Alex, 'Let's get lunch!' Alex looks at the map of the mall and responds, 'Sure, this mall has a ",-17.914201736450195,3.1065621611066103e-07,11355,5.0
mask,bandana,1,-8.328800529241562,1.0,Qwen2-7B,prompt_7ebf909e4b947d98da36,"You and your friend Carly go grocery shopping together. As you're about to enter the supermarket, you reach into your pocket and realize, 'I forgot to bring my mask!' Carly looks through her bag and responds, 'Sure, I have my ",-12.081671714782715,0.0003010473535220344,134,1.0
mask,candy,6,-12.559345245361328,5.0,Qwen2-7B,prompt_7ebf909e4b947d98da36,"You and your friend Carly go grocery shopping together. As you're about to enter the supermarket, you reach into your pocket and realize, 'I forgot to bring my mask!' Carly looks through her bag and responds, 'Sure, I have my ",-15.307016372680664,1.1964248547274026e-05,1862,5.0
mask,gloves,4,-9.199970245361328,3.0,Qwen2-7B,prompt_7ebf909e4b947d98da36,"You and your friend Carly go grocery shopping together. As you're about to enter the supermarket, you reach into your pocket and realize, 'I forgot to bring my mask!' Carly looks through her bag and responds, 'Sure, I have my ",-13.588266372680664,6.673122038494893e-05,486,3.0
mask,handkerchief,2,-10.21382188750431,4.0,Qwen2-7B,prompt_7ebf909e4b947d98da36,"You and your friend Carly go grocery shopping together. As you're about to enter the supermarket, you reach into your pocket and realize, 'I forgot to bring my mask!' Carly looks through her bag and responds, 'Sure, I have my ",-12.645214080810547,0.00017135290589754876,220,2.0
mask,napkins,3,-15.28598165512085,6.0,Qwen2-7B,prompt_7ebf909e4b947d98da36,"You and your friend Carly go grocery shopping together. As you're about to enter the supermarket, you reach into your pocket and realize, 'I forgot to bring my mask!' Carly looks through her bag and responds, 'Sure, I have my ",-18.094371795654297,7.368046316984664e-07,9968,6.0
mask,wallet,5,-8.512470245361328,2.0,Qwen2-7B,prompt_7ebf909e4b947d98da36,"You and your friend Carly go grocery shopping together. As you're about to enter the supermarket, you reach into your pocket and realize, 'I forgot to bring my mask!' Carly looks through her bag and responds, 'Sure, I have my ",-13.822641372680664,5.2788740250995155e-05,594,4.0
meat,chicken,1,-2.5063347816467285,1.0,Qwen2-7B,prompt_b4d6fb0c53a16899b941,"Your friend MJ is calling a ramen restaurant to order takeout. You tell MJ, 'I'd like meat in mine, please.' MJ gives your order over the phone, and then responds, 'Sure, they have ",-8.54831314086914,0.07884413136583075,2,1.0
meat,crab,3,-7.787584781646728,6.0,Qwen2-7B,prompt_b4d6fb0c53a16899b941,"Your friend MJ is calling a ramen restaurant to order takeout. You tell MJ, 'I'd like meat in mine, please.' MJ gives your order over the phone, and then responds, 'Sure, they have ",-14.48581314086914,0.00020803954083319543,405,5.0
meat,mushrooms,5,-6.4438347816467285,5.0,Qwen2-7B,prompt_b4d6fb0c53a16899b941,"Your friend MJ is calling a ramen restaurant to order takeout. You tell MJ, 'I'd like meat in mine, please.' MJ gives your order over the phone, and then responds, 'Sure, they have ",-14.92331314086914,0.0001343204229776879,574,6.0
meat,rice,6,-5.3813347816467285,3.0,Qwen2-7B,prompt_b4d6fb0c53a16899b941,"Your friend MJ is calling a ramen restaurant to order takeout. You tell MJ, 'I'd like meat in mine, please.' MJ gives your order over the phone, and then responds, 'Sure, they have ",-12.23581314086914,0.0019738242069426808,66,2.0
meat,tofu,4,-4.5688347816467285,2.0,Qwen2-7B,prompt_b4d6fb0c53a16899b941,"Your friend MJ is calling a ramen restaurant to order takeout. You tell MJ, 'I'd like meat in mine, please.' MJ gives your order over the phone, and then responds, 'Sure, they have ",-12.36081314086914,0.0017418937488734114,80,3.0
meat,turkey,2,-6.2563347816467285,4.0,Qwen2-7B,prompt_b4d6fb0c53a16899b941,"Your friend MJ is calling a ramen restaurant to order takeout. You tell MJ, 'I'd like meat in mine, please.' MJ gives your order over the phone, and then responds, 'Sure, they have ",-13.42331314086914,0.0006019823715822897,180,4.0
restaurant,cake,5,-8.378418922424316,4.0,Qwen2-7B,prompt_2283f8f6e027870a69f3,"You and your friend Billie go to a new restaurant. While you're there, you find out that it's Billie's 21st birthday. You say to Billie, 'Let's order some drinks!' Billie looks at the menu and responds, 'Sure, they have ",-16.23538589477539,0.00011146022189357927,739,4.0
restaurant,cocktails,1,-5.253418922424316,1.0,Qwen2-7B,prompt_2283f8f6e027870a69f3,"You and your friend Billie go to a new restaurant. While you're there, you find out that it's Billie's 21st birthday. You say to Billie, 'Let's order some drinks!' Billie looks at the menu and responds, 'Sure, they have ",-14.67288589477539,0.0005317469790571704,203,3.0
restaurant,salad,6,-11.253418922424316,5.0,Qwen2-7B,prompt_2283f8f6e027870a69f3,"You and your friend Billie go to a new restaurant. While you're there, you find out that it's Billie's 21st birthday. You say to Billie, 'Let's order some drinks!' Billie looks at the menu and responds, 'Sure, they have ",-16.79788589477539,6.350812007565908e-05,1112,6.0
restaurant,soda,3,-6.565918922424316,3.0,Qwen2-7B,prompt_2283f8f6e027870a69f3,"You and your friend Billie go to a new restaurant. While you're there, you find out that it's Billie's 21st birthday. You say to Billie, 'Let's order some drinks!' Billie looks at the menu and responds, 'Sure, they have ",-13.29788589477539,0.002103100099352351,64,1.0
restaurant,soup,4,-11.269043922424316,6.0,Qwen2-7B,prompt_2283f8f6e027870a69f3,"You and your friend Billie go to a new restaurant. While you're there, you find out that it's Billie's 21st birthday. You say to Billie, 'Let's order some drinks!' Billie looks at the menu and responds, 'Sure, they have ",-16.36038589477539,9.836330058247542e-05,799,5.0
restaurant,vodka,2,-5.690918922424316,2.0,Qwen2-7B,prompt_2283f8f6e027870a69f3,"You and your friend Billie go to a new restaurant. While you're there, you find out that it's Billie's 21st birthday. You say to Billie, 'Let's order some drinks!' Billie looks at the menu and responds, 'Sure, they have ",-13.79788589477539,0.0012755946907018862,102,2.0
salad,chips,5,-9.411117553710938,4.0,Qwen2-7B,prompt_e00e156f3257be31b90b,"You and your friend Ali are preparing dinner together. You tell Ali, 'I want to make a salad!' Ali runs to the corner store, and texts you, 'Sure, they have ",-13.277833938598633,0.00014735207006473706,460,3.0
salad,cigarettes,6,-12.504867553710938,6.0,Qwen2-7B,prompt_e00e156f3257be31b90b,"You and your friend Ali are preparing dinner together. You tell Ali, 'I want to make a salad!' Ali runs to the corner store, and texts you, 'Sure, they have ",-16.215333938598633,7.80937361514631e-06,3386,6.0
salad,dressing,2,-7.379867076873779,2.0,Qwen2-7B,prompt_e00e156f3257be31b90b,"You and your friend Ali are preparing dinner together. You tell Ali, 'I want to make a salad!' Ali runs to the corner store, and texts you, 'Sure, they have ",-14.277833938598633,5.420779719087068e-05,881,5.0
salad,lettuce,1,-1.5673671960830688,1.0,Qwen2-7B,prompt_e00e156f3257be31b90b,"You and your friend Ali are preparing dinner together. You tell Ali, 'I want to make a salad!' Ali runs to the corner store, and texts you, 'Sure, they have ",-6.840333938598633,0.0920718710128009,1,1.0
salad,meat,4,-10.973617553710938,5.0,Qwen2-7B,prompt_e00e156f3257be31b90b,"You and your friend Ali are preparing dinner together. You tell Ali, 'I want to make a salad!' Ali runs to the corner store, and texts you, 'Sure, they have ",-12.277833938598633,0.00040054445444279884,246,2.0
salad,tuna,3,-8.536117553710938,3.0,Qwen2-7B,prompt_e00e156f3257be31b90b,"You and your friend Ali are preparing dinner together. You tell Ali, 'I want to make a salad!' Ali runs to the corner store, and texts you, 'Sure, they have ",-14.090333938598633,6.53870847261059e-05,781,4.0
science,art,6,-9.0914945602417,6.0,Qwen2-7B,prompt_c59b935a8b7c294921c9,"You and your friend Drew are looking for books in a library. You say, 'I want to learn more about science.' Drew looks at the library catalogue and responds, 'Sure, they have books about ",-11.224943161010742,4.7922390386655266e-05,776,6.0
science,geology,2,-4.475210018455982,2.0,Qwen2-7B,prompt_c59b935a8b7c294921c9,"You and your friend Drew are looking for books in a library. You say, 'I want to learn more about science.' Drew looks at the library catalogue and responds, 'Sure, they have books about ",-6.742482662200928,0.004238833253229483,27,2.0
science,math,4,-5.247744560241699,3.0,Qwen2-7B,prompt_c59b935a8b7c294921c9,"You and your friend Drew are looking for books in a library. You say, 'I want to learn more about science.' Drew looks at the library catalogue and responds, 'Sure, they have books about ",-7.4593186378479,0.0020698001973594535,59,3.0
science,philosophy,5,-8.0914945602417,5.0,Qwen2-7B,prompt_c59b935a8b7c294921c9,"You and your friend Drew are looking for books in a library. You say, 'I want to learn more about science.' Drew looks at the library catalogue and responds, 'Sure, they have books about ",-10.803068161010742,7.307291917704621e-05,603,5.0
science,physics,1,-1.2477444410324097,1.0,Qwen2-7B,prompt_c59b935a8b7c294921c9,"You and your friend Drew are looking for books in a library. You say, 'I want to learn more about science.' Drew looks at the library catalogue and responds, 'Sure, they have books about ",-3.8655686378479004,0.07527906535391994,3,1.0
science,zoology,3,-6.131330125965178,4.0,Qwen2-7B,prompt_c59b935a8b7c294921c9,"You and your friend Drew are looking for books in a library. You say, 'I want to learn more about science.' Drew looks at the library catalogue and responds, 'Sure, they have books about ",-8.945917129516602,0.0004680657918519476,175,4.0
throw,beach ball,2,-6.410635888576508,2.0,Qwen2-7B,prompt_880556e472c188a19236,"You and your friend Jo are relaxing at Jo's house.You tell Jo, 'It's sunny outside, let's play catch.' Jo looks through the garage and responds, 'Sure, we have a ",-7.837270736694336,0.0007426606389251799,52,2.0
throw,boomerang,3,-9.67720792623004,4.0,Qwen2-7B,prompt_880556e472c188a19236,"You and your friend Jo are relaxing at Jo's house.You tell Jo, 'It's sunny outside, let's play catch.' Jo looks through the garage and responds, 'Sure, we have a ",-11.18753433227539,2.604890155241766e-05,555,3.0
throw,football,1,-2.657796859741211,1.0,Qwen2-7B,prompt_880556e472c188a19236,"You and your friend Jo are relaxing at Jo's house.You tell Jo, 'It's sunny outside, let's play catch.' Jo looks through the garage and responds, 'Sure, we have a ",-2.652834892272949,0.13254467540137782,2,1.0
throw,lawnmower,6,-10.915743698831648,5.0,Qwen2-7B,prompt_880556e472c188a19236,"You and your friend Jo are relaxing at Jo's house.You tell Jo, 'It's sunny outside, let's play catch.' Jo looks through the garage and responds, 'Sure, we have a ",-11.707091331481934,1.549346932409907e-05,777,4.0
throw,shovel,5,-9.095296859741213,3.0,Qwen2-7B,prompt_880556e472c188a19236,"You and your friend Jo are relaxing at Jo's house.You tell Jo, 'It's sunny outside, let's play catch.' Jo looks through the garage and responds, 'Sure, we have a ",-13.27783489227295,3.2209457912514787e-06,2175,5.0
throw,tires,4,-13.532796859741213,6.0,Qwen2-7B,prompt_880556e472c188a19236,"You and your friend Jo are relaxing at Jo's house.You tell Jo, 'It's sunny outside, let's play catch.' Jo looks through the garage and responds, 'Sure, we have a ",-15.35595989227295,4.031486366579037e-07,6900,6.0
transport,car,1,-2.0201668739318848,1.0,Qwen2-7B,prompt_8a7d96bf9736b1016bf4,"You and your friend Dylan have been studying together at his uncle's house. Dylan suggests going into town to take a break. You say, 'Sure, but I don't want to walk.' Dylan looks in the garage and responds, 'Sure, he has his ",-5.395257949829102,0.11375713633110632,2,1.0
transport,chairs,5,-14.453760147094728,6.0,Qwen2-7B,prompt_8a7d96bf9736b1016bf4,"You and your friend Dylan have been studying together at his uncle's house. Dylan suggests going into town to take a break. You say, 'Sure, but I don't want to walk.' Dylan looks in the garage and responds, 'Sure, he has his ",-16.7370548248291,1.34989147026456e-06,8863,6.0
transport,hammer,6,-11.207666397094728,5.0,Qwen2-7B,prompt_8a7d96bf9736b1016bf4,"You and your friend Dylan have been studying together at his uncle's house. Dylan suggests going into town to take a break. You say, 'Sure, but I don't want to walk.' Dylan looks in the garage and responds, 'Sure, he has his ",-13.942132949829102,2.208604744513288e-05,1597,5.0
