set_boundary,context,trigger,query,reason
3,bag,headphones,chalk,trigger_not_in_context
3,bag,cash,chalk,trigger_not_in_context
3,bag,chalk,makeup,query_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,headphones,crayons,trigger_not_in_context
3,bag,pen,makeup,query_not_in_context
3,bag,makeup,cash,query_not_in_context
3,bag,pen,cash,query_not_in_context
3,bag,crayons,headphones,query_not_in_context
3,bag,makeup,headphones,query_not_in_context
3,bag,headphones,makeup,query_not_in_context
3,bag,headphones,makeup,query_not_in_context
3,bag,chalk,cash,query_not_in_context
3,bag,cash,makeup,query_not_in_context
3,bag,headphones,makeup,query_not_in_context
3,bag,cash,pen,trigger_not_in_context
3,bag,crayons,cash,query_not_in_context
3,bag,cash,pen,trigger_not_in_context
3,bag,cash,chalk,trigger_not_in_context
3,bag,headphones,pen,trigger_not_in_context
3,bag,headphones,makeup,query_not_in_context
3,bag,makeup,cash,query_not_in_context
3,bag,cash,makeup,query_not_in_context
3,bag,pen,cash,query_not_in_context
3,bag,cash,makeup,query_not_in_context
3,bag,pen,makeup,query_not_in_context
3,bag,makeup,chalk,trigger_not_in_context
3,bag,crayons,makeup,query_not_in_context
3,bag,pen,headphones,query_not_in_context
3,bag,chalk,headphones,query_not_in_context
3,bag,cash,headphones,query_not_in_context
3,bag,chalk,headphones,query_not_in_context
3,bag,crayons,cash,query_not_in_context
3,bag,makeup,cash,query_not_in_context
3,bag,crayons,cash,query_not_in_context
3,bag,headphones,makeup,query_not_in_context
3,bag,crayons,makeup,query_not_in_context
3,bag,cash,makeup,query_not_in_context
3,bag,chalk,makeup,query_not_in_context
3,bag,chalk,headphones,query_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,cash,makeup,query_not_in_context
3,bag,cash,makeup,query_not_in_context
3,bag,headphones,pen,trigger_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,cash,makeup,query_not_in_context
3,bag,crayons,headphones,query_not_in_context
3,bag,headphones,makeup,query_not_in_context
3,bag,pen,makeup,query_not_in_context
3,bag,headphones,pen,trigger_not_in_context
3,bag,headphones,crayons,trigger_not_in_context
3,bag,cash,crayons,trigger_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,cash,makeup,query_not_in_context
3,bag,headphones,makeup,query_not_in_context
3,bag,chalk,headphones,query_not_in_context
3,bag,headphones,chalk,trigger_not_in_context
3,bag,chalk,cash,query_not_in_context
3,bag,cash,chalk,trigger_not_in_context
3,bag,makeup,headphones,query_not_in_context
3,bag,cash,makeup,query_not_in_context
3,bag,pen,cash,query_not_in_context
3,bag,headphones,makeup,query_not_in_context
3,bag,crayons,makeup,query_not_in_context
3,bag,cash,makeup,query_not_in_context
3,bag,makeup,pen,trigger_not_in_context
3,bag,chalk,makeup,query_not_in_context
3,bag,makeup,chalk,trigger_not_in_context
3,bag,headphones,makeup,query_not_in_context
3,bag,makeup,headphones,query_not_in_context
3,bag,pen,cash,query_not_in_context
3,bag,chalk,makeup,query_not_in_context
3,bag,cash,pen,trigger_not_in_context
3,bag,headphones,chalk,trigger_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,chalk,cash,query_not_in_context
3,bag,headphones,makeup,query_not_in_context
3,bag,pen,cash,query_not_in_context
3,bag,cash,crayons,trigger_not_in_context
3,bag,makeup,headphones,query_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,pen,headphones,query_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,headphones,makeup,query_not_in_context
3,bakery,water,cakes,trigger_not_in_context
3,bakery,water,pretzels,trigger_not_in_context
3,bakery,water,ice cream,trigger_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,pretzels,sandwiches,query_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,sandwiches,water,query_not_in_context
3,bakery,water,ice cream,trigger_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,pretzels,water,query_not_in_context
3,bakery,sandwiches,muffins,trigger_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,sandwiches,water,query_not_in_context
3,bakery,sandwiches,ice cream,trigger_not_in_context
3,bakery,muffins,sandwiches,query_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,pretzels,sandwiches,query_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,water,pretzels,trigger_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,water,pretzels,trigger_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,cakes,water,query_not_in_context
3,bakery,sandwiches,cakes,trigger_not_in_context
3,bakery,water,pretzels,trigger_not_in_context
3,bakery,sandwiches,cakes,trigger_not_in_context
3,bakery,sandwiches,water,query_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,muffins,water,query_not_in_context
3,bakery,sandwiches,muffins,trigger_not_in_context
3,bakery,water,ice cream,trigger_not_in_context
3,bakery,water,muffins,trigger_not_in_context
3,bakery,sandwiches,ice cream,trigger_not_in_context
3,bakery,water,muffins,trigger_not_in_context
3,bakery,cakes,water,query_not_in_context
3,bakery,water,pretzels,trigger_not_in_context
3,bakery,cakes,sandwiches,query_not_in_context
3,bakery,sandwiches,cakes,trigger_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,pretzels,sandwiches,query_not_in_context
3,bakery,water,pretzels,trigger_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,sandwiches,water,query_not_in_context
3,bakery,cakes,water,query_not_in_context
3,bakery,ice cream,water,query_not_in_context
3,bakery,water,pretzels,trigger_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,ice cream,water,query_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,water,cakes,trigger_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,water,pretzels,trigger_not_in_context
3,bakery,cakes,sandwiches,query_not_in_context
3,bakery,pretzels,water,query_not_in_context
3,bakery,ice cream,water,query_not_in_context
3,bakery,cakes,sandwiches,query_not_in_context
3,bakery,muffins,water,query_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,water,pretzels,trigger_not_in_context
3,bakery,water,ice cream,trigger_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,sandwiches,water,query_not_in_context
3,bakery,ice cream,sandwiches,query_not_in_context
3,bakery,ice cream,sandwiches,query_not_in_context
3,bakery,ice cream,sandwiches,query_not_in_context
3,bakery,pretzels,sandwiches,query_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,muffins,water,query_not_in_context
3,bakery,sandwiches,ice cream,trigger_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,ice cream,water,query_not_in_context
3,bakery,ice cream,water,query_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,water,muffins,trigger_not_in_context
3,bakery,water,muffins,trigger_not_in_context
3,bakery,water,ice cream,trigger_not_in_context
3,bakery,pretzels,sandwiches,query_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,muffins,sandwiches,query_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,muffins,water,query_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,water,pretzels,trigger_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,muffins,water,query_not_in_context
3,bakery,water,muffins,trigger_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,sandwiches,ice cream,trigger_not_in_context
3,bakery,sandwiches,ice cream,trigger_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,pretzels,water,query_not_in_context
3,bakery,pretzels,water,query_not_in_context
3,bakery,water,pretzels,trigger_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,ice cream,sandwiches,query_not_in_context
3,bakery,water,pretzels,trigger_not_in_context
3,bakery,water,cakes,trigger_not_in_context
3,bakery,sandwiches,pretzels,trigger_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,water,muffins,trigger_not_in_context
3,bakery,water,ice cream,trigger_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,ice cream,water,query_not_in_context
3,bakery,cakes,sandwiches,query_not_in_context
3,bakery,sandwiches,muffins,trigger_not_in_context
3,bakery,water,sandwiches,query_not_in_context
3,bakery,cakes,sandwiches,query_not_in_context
3,bakery,cakes,water,query_not_in_context
3,bakery,cakes,water,query_not_in_context
3,bakery,water,pretzels,trigger_not_in_context
3,beach,coat,sunglasses,trigger_not_in_context
3,beach,coat,jeans,trigger_not_in_context
3,beach,coat,shorts,trigger_not_in_context
3,beach,coat,jacket,trigger_not_in_context
3,beach,jeans,coat,query_not_in_context
3,beach,coat,jeans,trigger_not_in_context
3,beach,coat,jacket,trigger_not_in_context
3,beach,coat,jacket,trigger_not_in_context
3,beach,sunglasses,coat,query_not_in_context
3,beach,coat,shorts,trigger_not_in_context
3,beach,coat,bikini,trigger_not_in_context
3,beach,coat,bikini,trigger_not_in_context
3,beach,coat,jacket,trigger_not_in_context
3,beach,coat,jeans,trigger_not_in_context
3,beach,sunglasses,coat,query_not_in_context
3,beach,bikini,coat,query_not_in_context
3,beach,coat,bikini,trigger_not_in_context
3,beach,coat,jeans,trigger_not_in_context
3,beach,sunglasses,coat,query_not_in_context
3,beach,coat,sunglasses,trigger_not_in_context
3,beach,coat,jacket,trigger_not_in_context
3,beach,jeans,coat,query_not_in_context
3,beach,coat,jeans,trigger_not_in_context
3,beach,coat,jeans,trigger_not_in_context
3,beach,coat,jacket,trigger_not_in_context
3,beach,coat,jacket,trigger_not_in_context
3,beach,coat,jeans,trigger_not_in_context
3,beach,coat,jeans,trigger_not_in_context
3,beach,coat,bikini,trigger_not_in_context
3,beach,sunglasses,coat,query_not_in_context
3,beach,coat,shorts,trigger_not_in_context
3,beach,jacket,coat,query_not_in_context
3,beach,coat,bikini,trigger_not_in_context
3,beach,coat,sunglasses,trigger_not_in_context
3,beach,coat,jeans,trigger_not_in_context
3,beach,coat,bikini,trigger_not_in_context
3,beach,bikini,coat,query_not_in_context
3,beach,coat,jacket,trigger_not_in_context
3,beach,coat,jeans,trigger_not_in_context
3,beach,jacket,coat,query_not_in_context
3,beach,coat,jeans,trigger_not_in_context
3,beach,coat,jeans,trigger_not_in_context
3,beach,coat,jeans,trigger_not_in_context
3,beach,shorts,coat,query_not_in_context
3,beach,coat,jacket,trigger_not_in_context
3,beach,coat,jeans,trigger_not_in_context
3,beach,jacket,coat,query_not_in_context
3,beach,coat,shorts,trigger_not_in_context
3,beach,sunglasses,coat,query_not_in_context
3,beach,coat,jeans,trigger_not_in_context
3,beach,shorts,coat,query_not_in_context
3,beach,jeans,coat,query_not_in_context
3,beach,jeans,coat,query_not_in_context
3,beach,coat,jacket,trigger_not_in_context
3,beach,coat,shorts,trigger_not_in_context
3,beach,shorts,coat,query_not_in_context
3,beach,coat,jeans,trigger_not_in_context
3,beach,bikini,coat,query_not_in_context
3,beach,shorts,coat,query_not_in_context
3,beach,coat,jacket,trigger_not_in_context
3,beach,jeans,coat,query_not_in_context
3,fridge,yogurt,meat,query_not_in_context
3,fridge,yogurt,meat,query_not_in_context
3,fridge,ketchup,meat,query_not_in_context
3,fridge,milk,meat,query_not_in_context
3,fridge,ketchup,yogurt,query_not_in_context
3,fridge,meat,yogurt,query_not_in_context
3,fridge,ketchup,juice,trigger_not_in_context
3,fridge,yogurt,ketchup,query_not_in_context
3,fridge,meat,ketchup,query_not_in_context
3,fridge,ketchup,yogurt,query_not_in_context
3,fridge,ketchup,juice,trigger_not_in_context
3,fridge,meat,ketchup,query_not_in_context
3,fridge,yogurt,milk,trigger_not_in_context
3,fridge,meat,ketchup,query_not_in_context
3,fridge,yogurt,juice,trigger_not_in_context
3,fridge,juice,yogurt,query_not_in_context
3,fridge,meat,ketchup,query_not_in_context
3,fridge,yogurt,juice,trigger_not_in_context
3,fridge,meat,juice,trigger_not_in_context
3,fridge,ketchup,yogurt,query_not_in_context
3,fridge,juice,meat,query_not_in_context
3,fridge,milk,ketchup,query_not_in_context
3,fridge,yogurt,milk,trigger_not_in_context
3,fridge,ketchup,yogurt,query_not_in_context
3,fridge,milk,ketchup,query_not_in_context
3,fridge,water,ketchup,query_not_in_context
3,fridge,ketchup,yogurt,query_not_in_context
3,fridge,juice,ketchup,query_not_in_context
3,fridge,ketchup,yogurt,query_not_in_context
3,fridge,ketchup,yogurt,query_not_in_context
3,fridge,milk,meat,query_not_in_context
3,fridge,water,yogurt,query_not_in_context
3,fridge,yogurt,meat,query_not_in_context
3,fridge,yogurt,meat,query_not_in_context
3,fridge,meat,ketchup,query_not_in_context
3,fridge,water,meat,query_not_in_context
3,fridge,yogurt,juice,trigger_not_in_context
3,fridge,meat,yogurt,query_not_in_context
3,fridge,meat,juice,trigger_not_in_context
3,fridge,milk,meat,query_not_in_context
3,fridge,milk,yogurt,query_not_in_context
3,fridge,juice,yogurt,query_not_in_context
3,fridge,ketchup,water,trigger_not_in_context
3,fridge,ketchup,milk,trigger_not_in_context
3,fridge,meat,ketchup,query_not_in_context
3,fridge,meat,milk,trigger_not_in_context
3,fridge,meat,juice,trigger_not_in_context
3,fridge,milk,ketchup,query_not_in_context
3,fridge,water,ketchup,query_not_in_context
3,fridge,meat,milk,trigger_not_in_context
3,fridge,juice,yogurt,query_not_in_context
3,fridge,meat,ketchup,query_not_in_context
3,fridge,yogurt,water,trigger_not_in_context
3,fridge,meat,yogurt,query_not_in_context
3,fridge,water,yogurt,query_not_in_context
3,fridge,juice,ketchup,query_not_in_context
3,fridge,yogurt,ketchup,query_not_in_context
3,fridge,ketchup,yogurt,query_not_in_context
3,fridge,water,ketchup,query_not_in_context
3,fridge,ketchup,juice,trigger_not_in_context
3,fridge,ketchup,milk,trigger_not_in_context
3,fridge,meat,yogurt,query_not_in_context
3,fridge,meat,ketchup,query_not_in_context
3,fridge,meat,ketchup,query_not_in_context
3,fridge,meat,yogurt,query_not_in_context
3,fridge,milk,yogurt,query_not_in_context
3,fridge,ketchup,yogurt,query_not_in_context
3,fridge,meat,yogurt,query_not_in_context
3,fridge,ketchup,meat,query_not_in_context
3,fridge,water,ketchup,query_not_in_context
3,fridge,juice,meat,query_not_in_context
3,fridge,milk,ketchup,query_not_in_context
3,fridge,juice,ketchup,query_not_in_context
3,fridge,ketchup,milk,trigger_not_in_context
3,fridge,ketchup,yogurt,query_not_in_context
3,fridge,yogurt,ketchup,query_not_in_context
3,fridge,juice,meat,query_not_in_context
3,fridge,juice,ketchup,query_not_in_context
3,fridge,ketchup,yogurt,query_not_in_context
3,fridge,yogurt,juice,trigger_not_in_context
3,fridge,ketchup,yogurt,query_not_in_context
3,fridge,juice,yogurt,query_not_in_context
3,fridge,meat,yogurt,query_not_in_context
3,fridge,ketchup,yogurt,query_not_in_context
3,fridge,meat,juice,trigger_not_in_context
3,fridge,ketchup,water,trigger_not_in_context
3,fridge,meat,water,trigger_not_in_context
3,fridge,meat,ketchup,query_not_in_context
3,fridge,water,meat,query_not_in_context
3,fridge,juice,ketchup,query_not_in_context
3,fridge,meat,yogurt,query_not_in_context
3,fridge,milk,meat,query_not_in_context
3,fridge,meat,ketchup,query_not_in_context
3,fridge,ketchup,yogurt,query_not_in_context
3,fridge,meat,ketchup,query_not_in_context
3,fridge,milk,yogurt,query_not_in_context
3,fridge,meat,water,trigger_not_in_context
3,fridge,ketchup,yogurt,query_not_in_context
3,fridge,meat,ketchup,query_not_in_context
3,fridge,ketchup,yogurt,query_not_in_context
3,fridge,water,meat,query_not_in_context
3,fridge,meat,yogurt,query_not_in_context
3,fridge,meat,yogurt,query_not_in_context
3,fridge,meat,ketchup,query_not_in_context
3,fridge,ketchup,meat,query_not_in_context
3,fridge,yogurt,juice,trigger_not_in_context
3,fridge,yogurt,ketchup,query_not_in_context
3,fridge,milk,yogurt,query_not_in_context
3,fridge,juice,yogurt,query_not_in_context
3,fridge,meat,ketchup,query_not_in_context
3,fridge,yogurt,milk,trigger_not_in_context
3,fridge,ketchup,juice,trigger_not_in_context
3,fridge,yogurt,milk,trigger_not_in_context
3,fridge,ketchup,yogurt,query_not_in_context
3,fridge,meat,milk,trigger_not_in_context
3,fridge,meat,yogurt,query_not_in_context
3,fridge,water,yogurt,query_not_in_context
3,fridge,meat,yogurt,query_not_in_context
3,fridge,ketchup,juice,trigger_not_in_context
3,fridge,water,yogurt,query_not_in_context
3,fridge,meat,juice,trigger_not_in_context
3,fridge,milk,meat,query_not_in_context
3,fridge,meat,ketchup,query_not_in_context
3,fridge,ketchup,milk,trigger_not_in_context
3,fridge,yogurt,meat,query_not_in_context
3,fridge,ketchup,milk,trigger_not_in_context
3,fridge,meat,ketchup,query_not_in_context
3,fridge,yogurt,ketchup,query_not_in_context
3,fridge,ketchup,meat,query_not_in_context
3,fridge,meat,yogurt,query_not_in_context
3,fridge,milk,ketchup,query_not_in_context
3,fridge,milk,meat,query_not_in_context
3,fridge,meat,yogurt,query_not_in_context
3,fridge,milk,yogurt,query_not_in_context
3,fridge,meat,yogurt,query_not_in_context
3,fridge,water,yogurt,query_not_in_context
3,fridge,yogurt,water,trigger_not_in_context
3,fridge,meat,ketchup,query_not_in_context
3,fridge,juice,ketchup,query_not_in_context
3,fridge,ketchup,yogurt,query_not_in_context
3,fridge,meat,yogurt,query_not_in_context
3,gym,weightlifting,swimming,trigger_not_in_context
3,gym,meditation,weightlifting,query_not_in_context
3,gym,weightlifting,basketball,trigger_not_in_context
3,gym,weightlifting,swimming,trigger_not_in_context
3,gym,softball,weightlifting,query_not_in_context
3,gym,lacrosse,weightlifting,query_not_in_context
3,gym,meditation,weightlifting,query_not_in_context
3,gym,weightlifting,swimming,trigger_not_in_context
3,gym,weightlifting,swimming,trigger_not_in_context
3,gym,weightlifting,lacrosse,trigger_not_in_context
3,gym,meditation,weightlifting,query_not_in_context
3,gym,meditation,weightlifting,query_not_in_context
3,gym,meditation,weightlifting,query_not_in_context
3,gym,meditation,weightlifting,query_not_in_context
3,gym,weightlifting,swimming,trigger_not_in_context
3,gym,weightlifting,lacrosse,trigger_not_in_context
3,gym,meditation,weightlifting,query_not_in_context
3,gym,basketball,weightlifting,query_not_in_context
3,gym,meditation,weightlifting,query_not_in_context
3,gym,meditation,weightlifting,query_not_in_context
3,gym,swimming,weightlifting,query_not_in_context
3,gym,weightlifting,meditation,trigger_not_in_context
3,gym,weightlifting,softball,trigger_not_in_context
3,gym,softball,weightlifting,query_not_in_context
3,gym,weightlifting,softball,trigger_not_in_context
3,gym,weightlifting,swimming,trigger_not_in_context
3,gym,weightlifting,swimming,trigger_not_in_context
3,gym,swimming,weightlifting,query_not_in_context
3,gym,weightlifting,swimming,trigger_not_in_context
3,gym,weightlifting,basketball,trigger_not_in_context
3,gym,weightlifting,swimming,trigger_not_in_context
3,gym,basketball,weightlifting,query_not_in_context
3,gym,meditation,weightlifting,query_not_in_context
3,gym,basketball,weightlifting,query_not_in_context
3,gym,lacrosse,weightlifting,query_not_in_context
3,gym,meditation,weightlifting,query_not_in_context
3,gym,swimming,weightlifting,query_not_in_context
3,gym,softball,weightlifting,query_not_in_context
3,gym,weightlifting,basketball,trigger_not_in_context
3,gym,meditation,weightlifting,query_not_in_context
3,gym,weightlifting,swimming,trigger_not_in_context
3,gym,meditation,weightlifting,query_not_in_context
3,gym,weightlifting,softball,trigger_not_in_context
3,gym,weightlifting,basketball,trigger_not_in_context
3,gym,weightlifting,lacrosse,trigger_not_in_context
3,gym,weightlifting,swimming,trigger_not_in_context
3,gym,weightlifting,swimming,trigger_not_in_context
3,gym,weightlifting,swimming,trigger_not_in_context
3,gym,meditation,weightlifting,query_not_in_context
3,gym,meditation,weightlifting,query_not_in_context
3,gym,weightlifting,softball,trigger_not_in_context
3,gym,meditation,weightlifting,query_not_in_context
3,gym,weightlifting,lacrosse,trigger_not_in_context
3,gym,weightlifting,swimming,trigger_not_in_context
3,gym,swimming,weightlifting,query_not_in_context
3,gym,meditation,weightlifting,query_not_in_context
3,gym,meditation,weightlifting,query_not_in_context
3,gym,weightlifting,softball,trigger_not_in_context
3,gym,weightlifting,lacrosse,trigger_not_in_context
3,gym,weightlifting,swimming,trigger_not_in_context
3,gym,basketball,weightlifting,query_not_in_context
3,gym,weightlifting,meditation,trigger_not_in_context
3,gym,weightlifting,swimming,trigger_not_in_context
3,gym,lacrosse,weightlifting,query_not_in_context
3,gym,weightlifting,basketball,trigger_not_in_context
3,gym,meditation,weightlifting,query_not_in_context
3,gym,weightlifting,swimming,trigger_not_in_context
3,gym,weightlifting,swimming,trigger_not_in_context
3,gym,swimming,weightlifting,query_not_in_context
3,gym,weightlifting,lacrosse,trigger_not_in_context
3,gym,weightlifting,softball,trigger_not_in_context
3,gym,weightlifting,swimming,trigger_not_in_context
3,gym,basketball,weightlifting,query_not_in_context
3,gym,weightlifting,swimming,trigger_not_in_context
3,gym,meditation,weightlifting,query_not_in_context
3,mall,electronics store,gift shop,query_not_in_context
3,mall,gift shop,grocery store,query_not_in_context
3,mall,electronics store,grocery store,query_not_in_context
3,mall,coffee shop,grocery store,query_not_in_context
3,mall,pretzel stand,gift shop,query_not_in_context
3,mall,coffee shop,pretzel stand,trigger_not_in_context
3,mall,pretzel stand,electronics store,query_not_in_context
3,mall,gift shop,grocery store,query_not_in_context
3,mall,coffee shop,pretzel stand,trigger_not_in_context
3,mall,gift shop,grocery store,query_not_in_context
3,mall,electronics store,pretzel stand,trigger_not_in_context
3,mall,grocery store,coffee shop,query_not_in_context
3,mall,pretzel stand,burger joint,query_not_in_context
3,mall,grocery store,burger joint,query_not_in_context
3,mall,gift shop,grocery store,query_not_in_context
3,mall,coffee shop,pretzel stand,trigger_not_in_context
3,mall,burger joint,coffee shop,query_not_in_context
3,mall,electronics store,grocery store,query_not_in_context
3,mall,electronics store,gift shop,query_not_in_context
3,mall,pretzel stand,coffee shop,query_not_in_context
3,mall,burger joint,pretzel stand,trigger_not_in_context
3,mall,grocery store,burger joint,query_not_in_context
3,mall,coffee shop,grocery store,query_not_in_context
3,mall,coffee shop,burger joint,query_not_in_context
3,mall,burger joint,pretzel stand,trigger_not_in_context
3,mall,coffee shop,grocery store,query_not_in_context
3,mall,electronics store,gift shop,query_not_in_context
3,mall,burger joint,pretzel stand,trigger_not_in_context
3,mall,burger joint,coffee shop,query_not_in_context
3,mall,burger joint,pretzel stand,trigger_not_in_context
3,mall,electronics store,grocery store,query_not_in_context
3,mall,gift shop,grocery store,query_not_in_context
3,mall,burger joint,coffee shop,query_not_in_context
3,mall,gift shop,grocery store,query_not_in_context
3,mall,burger joint,coffee shop,query_not_in_context
3,mall,pretzel stand,electronics store,query_not_in_context
3,mall,coffee shop,electronics store,query_not_in_context
3,mall,pretzel stand,electronics store,query_not_in_context
3,mall,electronics store,burger joint,query_not_in_context
3,mall,burger joint,coffee shop,query_not_in_context
3,mall,burger joint,coffee shop,query_not_in_context
3,mall,gift shop,grocery store,query_not_in_context
3,mall,grocery store,gift shop,query_not_in_context
3,mall,electronics store,gift shop,query_not_in_context
3,mall,electronics store,gift shop,query_not_in_context
3,mall,grocery store,pretzel stand,trigger_not_in_context
3,mall,grocery store,burger joint,query_not_in_context
3,mall,burger joint,gift shop,query_not_in_context
3,mall,grocery store,burger joint,query_not_in_context
3,mall,pretzel stand,electronics store,query_not_in_context
3,mall,grocery store,coffee shop,query_not_in_context
3,mall,electronics store,gift shop,query_not_in_context
3,mall,electronics store,grocery store,query_not_in_context
3,mall,burger joint,coffee shop,query_not_in_context
3,mall,electronics store,coffee shop,query_not_in_context
3,mall,electronics store,grocery store,query_not_in_context
3,mall,gift shop,electronics store,query_not_in_context
3,mall,electronics store,gift shop,query_not_in_context
3,mall,electronics store,grocery store,query_not_in_context
3,mall,coffee shop,gift shop,query_not_in_context
3,mall,electronics store,burger joint,query_not_in_context
3,mall,burger joint,gift shop,query_not_in_context
3,mall,pretzel stand,coffee shop,query_not_in_context
3,mall,burger joint,electronics store,query_not_in_context
3,mall,burger joint,coffee shop,query_not_in_context
3,mall,pretzel stand,coffee shop,query_not_in_context
3,mall,burger joint,grocery store,query_not_in_context
3,mall,burger joint,grocery store,query_not_in_context
3,mall,pretzel stand,coffee shop,query_not_in_context
3,mall,burger joint,grocery store,query_not_in_context
3,mall,burger joint,grocery store,query_not_in_context
3,mall,gift shop,burger joint,query_not_in_context
3,mall,pretzel stand,coffee shop,query_not_in_context
3,mall,electronics store,gift shop,query_not_in_context
3,mall,grocery store,gift shop,query_not_in_context
3,mall,pretzel stand,grocery store,query_not_in_context
3,mall,burger joint,pretzel stand,trigger_not_in_context
3,mall,burger joint,pretzel stand,trigger_not_in_context
