prompt_id,generation_prompt
prompt_7e0fdf0d18a78b2f26f0,that tree is 
prompt_7e7fe96035ca9e08eac0,The winner was 
prompt_7ebf909e4b947d98da36,"You and your friend Carly go grocery shopping together. As you're about to enter the supermarket, you reach into your pocket and realize, 'I forgot to bring my mask!' Carly looks through her bag and responds, 'Sure, I have my "
prompt_7ef0d076d98598730e9a,this lawyer 
prompt_80a135acf3ebf3aa5eaa,His performance was 
prompt_81510cf385785220acb5,Tim's bathroom was 
prompt_82862027dcfc21ddd7a2,"Sue: Is the weather cold?
Mary: The weather is "
prompt_83f277ddd353396d08b1,The machine might 
prompt_840ea27e6884b799f03d,Ann's speech was 
prompt_8487b91d8b711b635de9,"Sue: Was Kaye's illness life-threatening?
Mary: Kaye's illness was "
prompt_8739e15a78acc9c748f2,The character was 
prompt_880556e472c188a19236,"You and your friend Jo are relaxing at Jo's house.You tell Jo, 'It's sunny outside, let's play catch.' Jo looks through the garage and responds, 'Sure, we have a "
prompt_889d327ca8706844c390,talking is 
prompt_8a7d96bf9736b1016bf4,"You and your friend Dylan have been studying together at his uncle's house. Dylan suggests going into town to take a break. You say, 'Sure, but I don't want to walk.' Dylan looks in the garage and responds, 'Sure, he has his "
prompt_8be1725bcbc2c7cafd21,this student is 
prompt_8ca19e07495588590515,that nurse is 
prompt_8db9c4024d83de073548,The accommodations were 
prompt_8e5f09d888c394847072,the electricity is 
prompt_8fcbba79ae1df9a8ba2f,"Sue: Is there water everywhere?
Mary: There is water "
prompt_8feddd2073fb246aa980,this mineral is 
prompt_90e8b2aad92e2cc22986,His choices were 
prompt_90eaf9efa854c51aeab5,"Sue: Did the city eliminate waste?
Mary: The city "
prompt_917833c98fdb2bb36886,"Sue: Did the runner finish?
Mary: The runner "
prompt_930e8cc6f3119e5bd81c,"Sue: Was the measure supported overwhelmingly?
Mary: The measure was supported "
prompt_931d0dd20892e44d05d5,The teacher 
prompt_939287c6e92ad6058c57,"Sue: Are the two paintings identical?
Mary: The two paintings are "
prompt_9464e3d9e8a4e8a05eff,His idea was 
prompt_95401d256c36dfade26e,the energy is 
prompt_955d2464207ced42dea9,The candidate 
prompt_957600c3996350b84f6f,that lady is 
prompt_95c315c9ed427791791b,"Sue: Was Kaye's illness serious?
Mary: Kaye's illness was "
prompt_96127195d571b60ef5ed,"Sue: Is the movie funny?
Mary: The movie is "
prompt_96b9fd88dd95d8e198a6,"Sue: Is the wallpaper ugly?
Mary: The wallpaper is "
prompt_97105f92135d8fd5e77f,"Sue: Is the lawyer usually early?
Mary: The lawyer is "
prompt_980237e32fcb800eaba5,the skier 
prompt_9811d6a2af36e00293d3,this solution is 
prompt_986769da57d78cb7ce52,the movie is 
prompt_99d6c7fa02cf58a58879,the doctor is 
prompt_9ab8d73f1cfc0cad14e4,His tone was 
prompt_9ae221f995afa06cc4d0,the news is 
prompt_9beef84d602e83233184,the elephant is 
prompt_9bf486d348995ffb3c18,"Sue: Is the house old?
Mary: The house is "
prompt_9d10b4bf28050baa10fa,"Sue: Was Chris's opponent terrifying?
Mary: Chris's opponent was "
prompt_9e9d73e33e446f793598,The student is 
prompt_9fb9edca3350bd8eb9ef,the problem is 
prompt_a00c8affba73ae324926,this necklace is 
prompt_a0659a0313d2c4e6f7e9,His response was 
prompt_a09ae2916bf457412251,"Sue: Is there water here?
Mary: There is water "
prompt_a1ae54b0763a217f7d6a,the dog is 
prompt_a1c3d53b82409c3a0909,The waiter is 
prompt_a21e371598a2b50ec832,The tank is 
prompt_a24e95517a05e37fcb1a,The weather is 
prompt_a276e86b98781155d95f,that table is 
prompt_a334c89b411df90df76b,That is 
prompt_a34a467ede5a114e7f4e,The student was 
prompt_a366eaab2c5fdbd6a23c,The city 
prompt_a37e810a2613681c714c,The conversation was 
prompt_a3afc32e2955323c1f0a,Zack's carpet was 
prompt_a3f9a2b596f078fa95bf,"Sue: Is the problem unsolvable?
Mary: The problem is "
prompt_a4142fc44ef982483908,the girl is 
prompt_a46876bb5719277b3e45,this recording is 
prompt_a53e97793a855559c06d,He is 
prompt_a553c55c4cf8ddfc9832,The fabric was 
prompt_a5f165d5738b6f45b905,the wallpaper is 
prompt_a7e5a055b1e502a56fda,the sky is 
prompt_a9ba41eb1bf65a23642f,"Sue: Might the machine damage itself?
Mary: The machine might "
prompt_a9fecc303fff8855bd8a,Cecilia trusts 
prompt_ac486d4c1ab5dfb3688f,the homemaker is 
prompt_ac92eb3ea65506e3a9af,"Sue: Is the house ancient?
Mary: The house is "
prompt_ad186ae540b8c58ffeaf,The house is 
prompt_ad4bd6c387f8a95f6d37,the assistant is 
prompt_adf94592398cfe046af8,It is 
prompt_afaed6bdbdebf46d03e3,"Sue: Was the coast totally flooded?
Mary: The coast was "
prompt_aff743bcb72e5318327a,the issue is 
prompt_b03dd7d4b08353849f01,Drinking is 
prompt_b051d56fd48e430d8851,this battery is 
prompt_b1289cb8a28a6b86171f,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have "
prompt_b18d3965f328ede4b57f,"Sue: Did the train stop?
Mary: The train "
prompt_b3dd1592c51c5a571d1b,"Sue: Does the princess love dancing?
Mary: The princess "
prompt_b47e271b641a5847820e,The sting was 
prompt_b4d6fb0c53a16899b941,"Your friend MJ is calling a ramen restaurant to order takeout. You tell MJ, 'I'd like meat in mine, please.' MJ gives your order over the phone, and then responds, 'Sure, they have "
prompt_b4e6b0b901bff60ff734,"Sue: Is the boy hungry?
Mary: The boy is "
prompt_b55b7bf43f7d75d0476a,"Sue: Is the wather warm?
Mary: The wather is "
prompt_b62ebf8247465c98ff0f,the worker is 
prompt_b63f760c82504d79ed42,The service was 
prompt_b68ecef2a83cb4432762,The engine was 
prompt_b6c0bce68d458956b199,The decor was 
prompt_b83734ea461bfb665969,"Sue: Is success certain?
Mary: Success is "
prompt_b8a6334bbfe291ccb0b9,the shirt is 
prompt_ba449c7bed5a4591f194,His clothing was 
prompt_bc73462875e5b0142b35,this sandwich is 
prompt_bce9bc6cff3595014145,"Sue: Was Stu's daughter petrified?
Mary: Stu's daughter was "
prompt_bd5c96f9fd4fdbd03e8a,"Sue: Does Phoebe need a car?
Mary: Phoebe "
prompt_bda2f68b11b1f8e34829,"Sue: Do Joey's parents tolerate dating?
Mary: Joey's parents "
prompt_bdd5addecb667c63fda0,The film was 
prompt_be0b6cfcc2b0f422511a,"Sue: Does the princess like dancing?
Mary: The princess "
prompt_bef1dc5815fd91e1a13e,that sweater is 
prompt_bfa46bdfac1c6516a56d,The elephant is 
prompt_c0993b2d9dcd32f39c7a,The toxin is 
prompt_c250877ca3335c171095,that painting is 
prompt_c2ab947fae285508eec8,the weather is 
prompt_c45d58b9ff1d6a82bf90,"Sue: Does the teacher believe it is true?
Mary: The teacher "
prompt_c49323f06cdff5ffad8b,"Sue: Is the shirt tight?
Mary: The shirt is "
prompt_c59b935a8b7c294921c9,"You and your friend Drew are looking for books in a library. You say, 'I want to learn more about science.' Drew looks at the library catalogue and responds, 'Sure, they have books about "
prompt_c5c3062ac27f7a19a928,The sales will 
prompt_c63d460dc7adcff43405,"Sue: Are the residents primarily Greek?
Mary: The residents are "
prompt_c6a031faed11dfb9f249,"Sue: Will the sales triple?
Mary: The sales will "
prompt_c6ff41e372f5153a7715,The sky was 
prompt_c7846a1a1c061226a93f,The novel was 
prompt_c825997d8ae15e605a54,"Sue: Is the fish tiny?
Mary: The fish is "
prompt_c8e3fc550e50fdf8751b,"Sue: Is the wine delicious?
Mary: The wine is "
prompt_c909d94ac64271ad3703,The fish is 
prompt_c9b623067e4fecf29cd5,"Sue: Did the candidate succeed?
Mary: The candidate "
prompt_caa49df0444325d783dd,the child 
prompt_cbbe437abe3a30539e9b,The measure was supported 
prompt_cc0ae0907862926149b7,The banana was 
prompt_cc1ea24d726ed3f268c1,that dress is 
prompt_cc5a8ca63a23424c77af,the scientist 
prompt_ce09a56a2cbabd118965,"Sue: Does the doctor loathe coffee?
Mary: The doctor "
prompt_cec1ec315d732e19ae01,"Sue: Does Jimmy write books and plays?
Mary: Jimmy writes books "
prompt_d02ee8347834f80037ee,Kaye's illness was 
prompt_d31c8772343c8c5cc032,"Sue: Is the fish small?
Mary: The fish is "
prompt_d530dbfe54ae7ec1dc77,this resource is 
prompt_d5e51b3e9c6edaa814d6,"You and your friend Jess are packing to go on vacation. You tell Jess, 'There's a nice beach near our hotel, make sure you bring something to wear.' Jess looks in the closet and responds, 'Sure, I have my "
prompt_d63a3adc3e18671fdf36,happiness is 
prompt_d76ad01164d96b032efb,The lawyer is 
prompt_d83b47dbc21f5c5def29,the candidate 
prompt_d8a639d649d5b62e57ed,The climate was 
prompt_d8f00a6fd1996aff71f7,the victim is 
prompt_da485e918a3352d4492c,the rabbit is 
prompt_da54171f5ca1be9e9d1a,"Sue: Did mistakes happen once?
Mary: Mistakes happened "
prompt_daa0f09c7f0b66a852b9,The wather is 
prompt_dae5a23e82f8085cc86d,"You and your friend Blair come back from a long day shopping. You want to try on your new sweater, and you tell Blair, 'I want to remove this tag.' Blair looks through some drawers and responds, 'Sure, I have my "
prompt_db0ade4afdd83de5c193,"Sue: Was Tom's interview understandable?
Mary: Tom's interview was "
prompt_dbc53c191f8c58a5e8e4,"Sue: Did the rehearsal go well?
Mary: The rehearsal went "
prompt_dbec2de12c4fb61ba1da,"Sue: Is that candidate more skilled?
Mary: That candidate is "
prompt_ddab5e8daf5ed525b085,the play is 
prompt_dee88e579e9935bbf58e,"Sue: Is the lawyer always early?
Mary: The lawyer is "
prompt_deed30743e2abe75ca62,The problem is 
prompt_df3636797cb1da59471f,"Sue: Is the elephant big?
Mary: The elephant is "
prompt_df555b00a711d9ccdc1c,"Sue: Does the teacher know it is true?
Mary: The teacher "
prompt_dfd6051c4e202c7686eb,that joke is 
prompt_e00e156f3257be31b90b,"You and your friend Ali are preparing dinner together. You tell Ali, 'I want to make a salad!' Ali runs to the corner store, and texts you, 'Sure, they have "
prompt_e2cddd7f4dfaa714c703,The line was 
prompt_e35ee33c7bb0e64c4f20,the food is 
prompt_e3b745ce25bd1b15dcfc,that movie is 
prompt_e4a4f360dfb01f6485fd,the doctors 
prompt_e4ac5d9373f6e6d83dc3,The club 
prompt_e4f8f7ea12b62967b360,"Sue: Is drinking allowed?
Mary: Drinking is "
prompt_e5b13e89443f16745c5d,"You and your friend Kennedy rent a small cabin in the mountains for a weekend. When you arrive, you shiver and say 'I'm freezing!' Kennedy looks around the cabin and responds, 'Sure, they have a "
prompt_e5bf08482327a5df1d60,the journey is 
prompt_e82bab647a73f8a446d7,the dessert is 
prompt_e9d12a32dc73461554ff,that professor is 
prompt_ea689bc65a2f99810ab6,His achievement was 
prompt_eb885216a39e07a2bd21,the cop saw 
prompt_ebfd4fb99e6b0af76dad,"Sue: Is the movie good?
Mary: The movie is "
prompt_ec5d2f072ea58f209e14,"Sue: Does Phoebe want a car?
Mary: Phoebe "
prompt_ec9c5dc1b73984c0dc7f,the freshman 
prompt_ecebd994c18af83dac06,Joey's parents 
prompt_ecec0eee8c393ba4f627,that house is 
prompt_ecf7f493b8f2be7288b0,the soup is 
prompt_ee1fa76eedf1bd204a38,"Sue: Did mistakes happen twice?
Mary: Mistakes happened "
prompt_ee84046823af22d8778a,There is water 
prompt_ef7471913f47082a0d86,"You and your friend Sam go for a long walk together. After the walk, you go back to Sam's house. You say to Sam, 'I'm thirsty.' Sam opens the fridge and responds, 'Sure, I have "
prompt_f01e75d510904b865a65,The runner 
prompt_f11fed7e5be6607d66ca,the layout is 
prompt_f1e7fab7f4ad16b061cb,"Sue: Were Peter's answers entirely wrong?
Mary: Peter's answers were "
prompt_f3167ee58945b83f84c1,"Sue: Is drinking obligatory?
Mary: Drinking is "
prompt_f4191d98bae5b4aa3cf1,that answer is 
prompt_f4e2bc5ac7ff83f72aea,the task is 
prompt_f693c977edffb2c086d6,The graphics were 
prompt_f6954c5b0310622a4671,"Sue: Does Jimmy write books or plays?
Mary: Jimmy writes books "
prompt_f7d1da402b3ced7db6af,the singer is 
prompt_f8c5e9a77cd07765a0f3,the athlete 
prompt_f96a2b49de247f143458,"Sue: Is the movie hilarious?
Mary: The movie is "
prompt_f9d30c22929d9a400159,"Sue: Is the task impossible?
Mary: The task is "
prompt_fa0e91fae2dca17f6ad8,The two paintings are 
prompt_fa68475339cd0a68e956,"Sue: Is the girl pretty?
Mary: The girl is "
prompt_fb6989d279e85933a99e,"Sue: Does Cecilia trust some politicians?
Mary: Cecilia trusts "
prompt_fb894dac29811930d695,The wall was 
prompt_fc397a1a3f6733ca216c,"You and your friend Chris walk by a bakery. You say, 'I want some dessert.' Chris looks inside the bakery and responds, 'Sure, they have "
prompt_fdd6892e3f4ea647aa41,The teenager is 
prompt_ff684c9dbaca2eb6a8fa,this model is 
