llm_name,sentence,n_items,spearman_rho
GPT-2,Ashley went to the department store to buy a,32,0.3070877842985413
GPT-2,It seemed like the girl was always running,15,0.3851737604832045
GPT-2,After the dog ate the trash he began to,20,0.02692871273324049
GPT-2,The fruit salad tasted good and even included a,43,0.001355265702375071
GPT-2,Jan dropped the lightbulb and it cracked near the,32,0.22054356727300434
GPT-2,Jordan learned a lot about cars from his,11,-0.2251412409153228
GPT-2,She chopped onions before adding them to the,19,0.024583589809800688
GPT-2,Her coworkers said Mary was as crazy as a,15,-0.10607424366281573
GPT-2,The landscaper accidentally broke the pole of a,35,0.2714085618963842
GPT-2,The girl's mother was upset she played in the,19,0.27417516499616307
GPT-2,Ezra says he's fit but he can't run a,4,0.5000000000000001
GPT-2,Upon the rude princess the witch placed a dark,5,0.8944271909999159
GPT-2,"To prepare his fields for planting, Blake began to",16,-0.10386606854005721
GPT-2,The dog's teeth were showing as he started to,11,-0.43288977627697467
GPT-2,Her parents were dismayed she had pierced her,12,0.1624964420315458
GPT-2,Tom went to the hardware store to buy a,17,-0.0019129789981735285
GPT-2,Bob planned to reopen the restaurant in the,11,-0.03935227358200926
GPT-2,The songbird outside the window was a,35,-0.036293953514800706
GPT-2,"To help her plants grow, Carly used a new",14,0.18952758671846
GPT-2,Fred only criticized Larry to make him feel,20,0.00355909919459064
GPT-2,The health-conscious chef only cooked with meat that was,17,0.6187026814118453
GPT-2,The fisherman went to the store to buy a,19,0.13296184306632863
GPT-2,It didn't matter because the check was,30,0.09156748519850301
GPT-2,The students were restless and refused to,23,0.18514574693503302
GPT-2,His dad already set multiple traps for the,22,-0.3316162558189624
GPT-2,Julia couldn't return the dress due to the missing,8,-0.4528391448839649
GPT-2,The woman said the blue stone was genuine,25,-0.09379752880050868
GPT-2,"Through his hard work, the police officer found the",23,0.2697970944792669
GPT-2,The driver was angry that his car was,25,0.4129976939894711
GPT-2,France is a country that is famous for,23,0.20386188675888428
GPT-2,Rob said a lot of criminals here sell,25,0.327005053455204
GPT-2,The rowdy player was ejected after a nasty,23,0.35622452284084716
GPT-2,"Before bungee jumping, the group made sure to carefully",37,0.3867574275071833
GPT-2,Dean picked a warm chocolate chip cookie from the,22,0.19069275135764252
GPT-2,"When the opposing team entered, the fans started to",10,0.1297884343012543
GPT-2,Owen took a nap because his day had been,21,0.27574463779745817
GPT-2,The fisherman was happy when he caught a,15,0.5040498129370763
GPT-2,Ultrasounds allow us to see babies still in the,5,0.05735393346764044
GPT-2,The curious boy wouldn't stop poking the fish,40,-0.04316364278829278
GPT-2,Above the treehouse were the bees made their,5,-0.39999999999999997
GPT-2,A common herb from the parsley family is,25,0.3495552640391017
GPT-2,To fix the kitchen they would put in new,27,0.3364692236468864
GPT-2,The test material was not what the teacher,23,-0.12936518644755637
GPT-2,From her beach trip the mother brought back a,15,0.4082654539177524
GPT-2,Greg made sure nothing bad happened under his,8,0.3504383220252313
GPT-2,The burglar took the purse and quickly turned to,11,0.4178081626467133
GPT-2,The twins hated the campsite and wanted to turn,8,0.6258728844341154
GPT-2,Matt stopped using the bottle after losing the,19,-0.1252655702815052
GPT-2,They broke into the store and began to,24,0.35384080396820655
GPT-2,Even the mother's singing couldn't calm the screaming,4,-0.39999999999999997
GPT-2,"The toddler enjoyed feeding bread to the fat, white",17,0.18516121261628812
GPT-2,Elle let out her frustration in a big,11,0.1600800600500438
GPT-2,A common business accessory is a nice,29,0.35677583698294846
GPT-2,He told his son it wasn't a job for,23,0.36435720178853104
GPT-2,"Of all the girls at the ball, she claimed the title of the",16,0.6514846780444339
GPT-2,"The simple, fun camp game soon escalated into a",14,0.759134374881576
GPT-2,"Claire, always frugal, kept her spending on a tight",5,0.9746794344808963
GPT-2,The wound on Jeremy's leg began to,13,0.35714133932043446
GPT-2,Art Deco architecture is no longer in,11,0.031942212054821874
GPT-2,The lumberjack knocked the tree down with one last,13,-0.06394135821584672
GPT-2,Rebecca was gullible but she was not,12,0.4176117375251529
GPT-2,The incubated egg soon hatched into a baby,17,0.6495497128486546
GPT-2,The girl got in trouble trying to pass a,20,0.11988709288368872
GPT-2,The scared girl ran upstairs to her bedroom and,7,-0.044543540318737404
GPT-2,The fish appeared to have some damage to its,8,0.8768105301663435
GPT-2,The grandfather's estate was divided among his,14,0.4644801493145353
GPT-2,The teenager yelled at her mom for being a,35,0.07703682929075059
GPT-2,"Last week during the loud thunderstorm, the man",34,0.330890940723338
GPT-2,"While alone on an island, James struggled to stay",19,0.3035311816856143
GPT-2,Kip isn't a good player but he's a great,28,0.1655386660529734
GPT-2,The bed was comfortable but it was too,24,0.3515023386852776
GPT-2,The whole neighborhood could hear the couple's loud,21,-0.11749834101744658
GPT-2,"For the girl's birthday, Russell didn't know what to",11,0.36066463925598996
GPT-2,David watched games with his friends at the local,11,0.23630326182051992
GPT-2,The manager looked for paper but the supply was,12,-0.018148850216015693
GPT-2,"When she was nervous, Frances unconsciously bit her",6,0.4638168285219587
GPT-2,The gardener went to the store to buy more,22,0.4083961299643739
GPT-2,Sarah's eye stopped tearing up after she removed the,22,0.18286969286560315
GPT-2,The tourists enjoyed hiking through the scenic,23,0.3676376069163777
GPT-2,The girl always listened to music when she,30,0.25349270399195467
GPT-2,The determined student was not discouraged by his bad,14,0.3586042406027713
GPT-2,"Since Rebecca was cold, she began to",11,-0.04046851288050203
GPT-2,The opponents threw balls that the players couldn't,5,0.19999999999999998
GPT-2,A sign of close friendship is being able to,31,0.5154381656471991
GPT-2,All the old cow ever did was chew its,13,-0.08834961866065451
GPT-2,The young boy's favorite type of meat was,20,0.6760758671940241
GPT-2,Blue is the only color the child will,20,0.659597316306072
GPT-2,The boy never accomplished anything since he lacked the,26,0.21285596586675154
GPT-2,Gigi fell yesterday and she broke a,16,0.4906485871006144
GPT-2,Hazel recognized her cat from afar because of its,19,0.27391177210533324
GPT-2,"Descending the steps, the old man clutched the",15,0.07382246147161144
GPT-2,Seth believes the best part of fish is the,19,-0.08329171388613285
GPT-2,"Instead of a purebred dog, John chose a",11,0.17609421998443506
GPT-2,The sailor was angry when he broke his,40,-0.04679696799540739
GPT-2,When the puppies get hungry they start to,13,0.18522191084851644
GPT-2,The spy agency tried to locate agents who had gone,14,0.19059129429060973
GPT-2,Collin was excited his new apartment had a large,21,-0.010788394396787235
GPT-2,The company said they were looking to,14,0.36932497003843184
GPT-2,The world would be a more peaceful place without,32,0.10086763315464915
GPT-2,Dave smiled when he got to pet the little,19,0.46678588943983595
GPT-2,Richard wanted to lose weight but he hated to,5,-0.5263157894736843
GPT-2,Gordon said he'd do anything to get out of,18,0.20453477928069186
GPT-2,Oliver liked to put bread in his soup to,14,0.7650240206272951
GPT-2,For the rest of his life gambling was his,19,-0.1992547701138275
GPT-2,The mare was very protective of her,14,-0.28622548015049454
GPT-2,"When guests visit, the host serves drinks in crystal",11,-0.004981602045910107
GPT-2,Drake didn't like eating barbecued meat because of the,23,0.22782020107978312
GPT-2,Marissa likes guys that are both tall and,27,0.2492931470364865
GPT-2,"When using credit cards, cashiers may ask you to",11,0.31536019849454777
GPT-2,"While training for the marathon, Kelly became",38,0.05698359935753947
GPT-2,Experts could not give Amy the answers she,10,0.24687994952417402
GPT-2,Justine scrubbed the coffee stain on her shirt with,36,0.3154560692249924
GPT-2,"An expert in hiding, the thief was hard to",9,0.13336626734231613
GPT-2,The stench of the dumpster made the passerby,23,0.4082267177576389
GPT-2,The circus tiger roared as he received another,24,0.19763120221700964
GPT-2,"Due to the dust, the construction workers began to",7,0.8090398349558906
GPT-2,In the mornings it was hard for Jim to,24,0.2266149205479712
GPT-2,Cara went to the pet store to buy her new,26,0.2658762614240597
GPT-2,The scary story had a goblin and a,18,0.49084034893634576
GPT-2,Beauty is unrelated to whether or not you are,23,0.3297939453235844
GPT-2,The vacuum's defects affected its ability to,8,0.05001563232803554
GPT-2,"Although dark outside, Amanda could still see his",26,0.28739639017021934
GPT-2,The babysitter screamed when she saw the,34,0.1802641080165449
GPT-2,They couldn't talk because it was too hard to,10,0.45210896443586523
GPT-2,"On Saturday night, Mark hung out with his",12,0.3677874462699928
GPT-2,Spaghetti is the girl's favorite type of,9,0.22299786933522417
GPT-2,Ruth fell asleep listening to the soothing music's,18,0.46444757857176316
GPT-2,The teacher told the troublemaker's parents they had to,30,0.457544756383247
GPT-2,A grouch can fall in love and become a,36,0.18166292784865945
GPT-2,He slept so soundly that he was impossible to,12,0.1519584813782624
GPT-2,"Angry at the late employee, Brandon began to",23,0.3518167973181373
GPT-2,She loved the forest as it was very,27,0.014017226985263895
GPT-2,Rival candidates may employ tactics intended to,43,0.22082020395261975
GPT-2,Sometimes wedding dresses will be adorned with,14,0.07124008876808219
GPT-2,The camper's food attracted a large mother,5,0.0
GPT-2,The information the nurse gave the child had been,40,0.06918847631520497
GPT-2,When cleaning it is important to use,25,0.41958671745928994
GPT-2,Tim spoke loudly at the restaurant due to the,13,0.42293496087909715
GPT-2,The dessert was so good it was hard to,20,0.3368197445714744
GPT-2,Angela's clothes disappeared from the line where they were,13,-0.31323516666279105
GPT-2,"Although often rational, Morgan was blinded by her",34,0.3074466553195908
GPT-2,"On Liz's first day, she wasn't sure what to",6,0.3751832396884334
GPT-2,"When the clown entered, the room two children",17,0.518145344403429
GPT-2,Yolanda took the wet clothes outside to,5,0.3354101966249684
GPT-2,The cranky neighbor yelled at the kids to,16,0.15233690052541723
GPT-2,"Soon after Janice stepped on the wet floor, she",5,-0.34412360080584264
GPT-2,"Tired of beige walls, Ingrid painted them a bold",8,0.2964997266644405
GPT-2,The girl who lost cried that the competition wasn't,6,-0.6642111641550715
GPT-2,Domingo stored his valuables in a durable,12,-0.027126947332598215
GPT-2,The house on the hill seemed haunted by a,6,0.27721849663516385
GPT-2,The little girl enjoyed dancing to the,13,0.5210558718030477
GPT-2,Clark's days became boring after falling into a,20,0.13205720440728216
GPT-2,The spilled juice left a stain on the expensive,17,0.44719757871431254
GPT-2,Eric was worried that his car didn't have enough,8,0.4367957869511415
GPT-2,"During the poker match, the player won with a",22,0.1898691357220472
GPT-2,After the hike their intense thirst was hard to,10,0.07859943516683855
GPT-2,The professor thought the student's presentation lacked,50,0.2039581569801888
GPT-2,The grandmother always said the key to life was,41,0.2620990473040519
GPT-2,The pitbull was so strong that he snapped the,16,0.2694049370872675
GPT-2,The excited crowd cheered when the ball entered the,16,0.10679638455031402
GPT-2,To boost his circulation Tim goes for a,14,0.668516922873765
GPT-2,"After hours of heavy lifting, Zach wanted a back",6,0.29411764705882354
GPT-2,The neighborhood was constantly terrorized by the same,21,0.24940576756627816
GPT-2,Following his trial the king's murderer was,20,0.2398148810685191
GPT-2,When the puppy became sick he needed,13,0.7939603183936212
GPT-2,Samantha enjoyed the smell of her new,23,0.07403308550949157
GPT-2,"Because of clouds, it was impossible to see the",13,0.5677504564221388
GPT-2,"As he entered the building, Kyle tripped over the",24,0.2123705190117777
GPT-2,Kiki didn't like the city since it wasn't,28,-0.42960484537829446
GPT-2,Julie used her new telescope to look at the,4,-0.21081851067789195
GPT-2,The farm animals were transported in a,17,0.6169772770707778
GPT-2,In sailing you have to handle a lot of,22,0.09833338319237112
GPT-2,Alexis was embarrassed by her child's behavior in,9,0.2288135593220339
GPT-2,Kathy disliked birds but tolerated the songs of the,41,-0.07769976707963622
GPT-2,"The tennis player tied his opponent, making the score",13,0.22035984963882904
GPT-2,Katie didn't know who the present was,4,1.0
GPT-2,Sandra was set on finishing her project during the,23,0.07576614244093566
GPT-2,The raging horse kicked the stable worker with its,6,0.9276336570439174
GPT-2,The team was losing and couldn't afford a,22,-0.05122102710594474
GPT-2,The man's girlfriend shrieked when he showed her the,27,0.062269717421055124
GPT-2,The woman walked with three little children in,15,0.21820987267779235
GPT-2,The engine got very loud when it started to,33,0.14416544712830304
GPT-2,Her grandmother told her she was sweet as a,28,0.23115995656986507
GPT-2,Schnucks was sold-out of milk except for a one gallon,16,0.6108835011618583
GPT-2,"Before cooking, the woman had to clean the",17,0.2717333538895392
GPT-2,The farmer harvested a large reddish-purple,20,0.19881212192080133
GPT-2,What Jessica's bland chicken lacked was a flavorful,28,0.5369179499647924
GPT-2,Pull the cord to hoist the bucket out of the,11,-0.060980586650114486
GPT-2,"On vacation, Amy liked to go tanning at the",5,0.5642880936468347
GPT-2,The dinner party host didn't provide enough food to,16,0.5831459947854407
GPT-2,"The biker fell on his head, damaging his frontal",4,-0.6000000000000001
GPT-2,After his divorce my neighbor became a lonely,18,0.6981219518534554
GPT-2,He likes eating those chips that come in a,8,0.29347622897207615
GPT-2,Candice looks angelic but she is very,25,0.582144507295644
GPT-2,"On the California coast, there was a small, shallow",33,0.43353102579235864
GPT-2,When he tore open the donuts their jelly would,21,0.2011518637337226
GPT-2,"Since Jeremy was sick, he stayed in his",6,-0.21251185925162072
GPT-2,Elle got behind the stalled car and began to,10,0.06752047024553515
GPT-2,"As Jill felt the sharp pain, she began to",19,0.0634137458805448
GPT-2,If Frieda gets bad news she will probably,18,0.04286676708933067
GPT-2,Howard couldn't get into the car because of his,41,-0.002487342844499788
GPT-2,"When asked about going shopping, Jenna replied she",29,0.6177799012474506
GPT-2,The eager boy got permission to adopt the furry,15,0.42896875791315653
GPT-2,The disruptive students were given a warning by the,7,0.44946657497549475
GPT-2,The butterfly is much prettier than the,16,0.5070085627311266
GPT-2,"When he went to parties, Tim was a real",43,0.3091250911454283
GPT-2,Most of the young sharks took shelter in the,19,0.4782017026134577
GPT-2,Marcus struggled to build a birdhouse even with the,20,0.3364205272161651
GPT-2,It was hard to see because the light was,8,0.179546211614902
GPT-2,The criminal was nervous to appear before the,4,0.21081851067789195
GPT-2,"Married to a duchess, Max earned the title of",5,0.4472135954999579
GPT-2,Faith likes cities because they're the best place to,17,0.500983225394287
GPT-2,They waited for a windy day to use their,8,-0.4185606887812689
GPT-2,He had plenty of power at the school as,18,0.20030865798222813
GPT-2,The monk was easily recognized due to wearing a,15,0.21074498530871502
GPT-2,The important investors' dinner was at half-past,9,-0.18602290120845688
GPT-2,Chris couldn't find the store because there was no,6,0.3714285714285715
GPT-2,His girlfriend said she had done it for his,26,0.15787315104303104
GPT-2,"Due to the controversial court case, the jury remained",19,0.49599702615447405
GPT-2,The chef thought the chicken breast needed more,16,0.4668038669172671
GPT-2,The new crystal chandelier was very expensive and,29,0.3358690852297687
GPT-2,"Staring blankly out the window, Nick let his eyes",21,0.16516186051626433
GPT-2,The high school football player was extremely,40,0.00991581286132206
GPT-2,"In the Wild West, people settled issues with a",8,0.6099375455928333
GPT-2,The kind grandmother told stories while she,20,-0.08282318347506923
GPT-2,The family's large sailboat has a huge,20,0.36355244413267024
GPT-2,The cat enjoyed lying down and toying with the,20,0.07545738008790177
GPT-2,That dark red vegetable over there is a,11,0.20669806776305147
GPT-2,"After running into a table, Ruth broke her",20,0.022244202665006454
GPT-2,"Once outside, the playful toddler started throwing",19,-0.06970551976440797
GPT-2,The mechanic lifts cars using a car,15,-0.027574915478944372
GPT-2,Rick always felt truly better after doing a good,11,0.4037985849401142
GPT-2,Sally heard that our new teacher was impossible to,21,0.06726819099230498
GPT-2,The nervous novice driver kept taking the wrong,6,0.31311214554257477
GPT-2,The store clerk ended up being an unknowing,30,0.4957234579617459
GPT-2,The tailor fastened the pant's edge with a,16,0.5219106546531745
GPT-2,Jack went to the clothing store to buy a,10,0.1847283651150212
GPT-2,"While on land, the crab was eaten by a",26,-0.09559416754300416
GPT-2,Everyone ran from the man like he was a,30,0.055301729026506985
GPT-2,The baby spit out the strained peas as one,42,0.027331300685534264
GPT-2,Don didn't tell Carmen secrets because she liked to,13,0.20925497243054092
GPT-2,No one could leave until the show was finally,6,0.21251185925162072
GPT-2,On their doorstep was a flaming bag of dog,7,0.5095246653650681
GPT-2,The markings on the barn wall were from a,55,0.11782794551101351
GPT-2,The apples on the tree were too high to,3,0.5
GPT-2,When it came to house chores Austin was a,55,0.31747270140966255
GPT-2,The detectives found their suspect after pursuing a,15,0.2557934120504839
GPT-2,Sam does not like desserts that are too,10,-0.14188211279424395
GPT-2,The frightened children ran from the growling,9,-0.18567439104891764
GPT-2,Nicola walked towards the lake till she hit the,23,0.13183618895781457
GPT-2,The adorable newborn seemed to make everyone,8,0.6635114741977373
GPT-2,All the queen's loyal servants responded to her every,12,0.2160242618374404
GPT-2,The chef was known for his fragrant and flavorful,27,0.20435111992376434
GPT-2,The farmer pulled a muscle while trying to,30,-0.1250723288298334
GPT-2,Weddings bring out excitement and general feelings of,17,0.5421458746537775
GPT-2,"Upon returning home, the businessman napped on the",8,0.31899590105660447
GPT-2,"Beth hasn't figure out the solution, but Martha",5,0.5642880936468347
GPT-2,Her sister liked the mountains but Shea loved the,17,-0.7466605157081357
GPT-2,The athlete went shopping to buy a new,36,0.37124561858131344
GPT-2,"Using an ultrasound, the doctor checked the",16,0.256158700822
GPT-2,"At the baseball game, Isaac bought a",27,-0.22911144521130858
GPT-2,"Every time she saw him, Chip's grandmother called him",40,0.12431723024891228
GPT-2,Cleaning the building's bathroom was Jared's weekly,9,0.07427813527082075
GPT-2,"After playing outside, the child's face was covered in",7,0.7105597124064275
GPT-2,The farmer saw that his chickens had left the,13,0.07716837417109548
GPT-2,"After his leg injury, Terrance had a distinct, slow",18,0.033915794062195095
GPT-2,Their pet rabbit was eventually eaten by a,11,0.27674418604651163
GPT-2,The small business owner happily renovated his,12,0.3872119784778384
GPT-2,Greta thought the dress was scandalous because it had,31,0.2254954983505432
GPT-2,The seamstress went to the market to buy a,29,0.40879532643364014
GPT-2,The little puppy outside the house started to,12,0.2809087276316588
GPT-2,Ryan's pet snake was sleeping in a tight,16,0.09240610790415929
GPT-2,For such an elderly woman she kept a good,26,0.025631509290477153
GPT-2,The teacher taught Brandon a cool new computer,14,0.18952975859394092
GPT-2,Everyone was shocked when the couple broke up so,11,0.6928203230275508
GPT-2,Abby quickly completed the task with lots of,26,0.2963013717697451
GPT-2,Isn't that puppy already too old to,35,0.17878768405721066
GPT-2,"With clothes scattered everywhere, her room was a",4,-0.316227766016838
GPT-2,When they got married they purchased their first,6,0.5161002296110789
GPT-2,Nadine found it difficult to drive in the,13,0.4992280747663542
GPT-2,The avocado wasn't ready as it was still too,18,0.13594600078802477
GPT-2,"Always full of energy, Wilson never seemed to",17,0.5371264299488049
GPT-2,Natalia did her best not to lose,25,-0.2886913711370118
GPT-2,Everyone who knew him said he had a big,16,0.4451594521931466
GPT-2,Riley was unhappy that her new pants were,25,0.36404788321852877
GPT-2,"Due to heavy rainfall, the rainforest is very",15,0.2251982373985514
GPT-2,The most recent line of soap was made for,36,0.535219785653722
GPT-2,"During his acceptance speech, Robert thanked his supportive",22,0.2567329353657677
GPT-2,Jim prefers funny movies that make him,4,0.7378647873726218
GPT-2,To start the Sumo match they struck a large,11,0.4427223246668804
GPT-2,Patrick managed to fix the sink after replacing a,15,-0.0037822526819557274
GPT-2,Nicole hung the wall painting using a small,9,0.06118264057738429
GPT-2,Frankie had four plants getting sunned on the,14,0.6106234826020827
GPT-2,Harrison didn't want to clip the wings of his,14,-0.22925028065622555
GPT-2,Lindsay bought her new sweater because of the unique,15,0.28545373842000105
GPT-2,She adores rain but doesn't at all like,20,0.2327437180247364
GPT-2,Jane borrowed money but could not repay her,13,0.4710096552519246
GPT-2,"Just below the water, Gary could see the shark's",14,0.43972754245200796
GPT-2,The workout was so hard that it made me,22,0.1626151921985458
GPT-2,The silly girl forgot the password to her house,15,-0.10721784792052803
GPT-2,His mother cautioned him about letting the bananas,16,-0.059450689753633705
GPT-2,"After canoeing all day, May's arms were",13,0.3533562601678043
GPT-2,The couple realized they needed new crystal,24,0.11357958405986782
GPT-2,The boxer knocked out his opponent with a sudden,10,0.40900731205122914
GPT-2,Severe joint pain is often a symptom of,16,0.49847871285497414
GPT-2,The player tried to move but he still got,24,0.4710752774173336
GPT-2,It was shocking when the family pet birthed a,26,0.5744350842206687
GPT-2,All the gym trainers were in great shape and,29,0.21730156191740002
GPT-2,"After the campfire, the wood had a dark",30,0.5236973900485985
GPT-2,"During her science class, Heather learned about the Earth's",14,0.5200115424982986
GPT-2,The committed scientist spent hours working in the,6,0.36070420968117417
GPT-2,Gabe went to the automobile shop to replace a,22,0.41581071613065074
GPT-2,Richard supported the Cardinals by wearing a,9,-0.16238068987339482
GPT-2,Ava restrained herself even though she was filled with,21,0.20480078401329366
GPT-2,Pedestrians passing the store's display would stop and,11,0.4463392767839281
GPT-2,The cautious hiking enthusiast always carried some,30,-0.29740589173145315
GPT-2,James asked for a refund for what he had,14,0.08664587415167274
GPT-2,"Unfortunately, the competition turned out to be a",44,0.06894701145215659
GPT-2,Pat thought she looked much better with a light,31,0.6118672290497971
GPT-2,The woman shrieked when she saw that he had a,29,0.4020896555961991
GPT-2,The dog ran inside just before it started to,11,0.3596323425313481
GPT-2,The crowd became rowdy after drinking too much sweet,18,-0.21304036468442766
GPT-2,"Forgetting the toy's name, Larry just called it a",34,0.34791414161195594
GPT-2,Animals ate the jam because Mitch didn't replace the,23,0.3466158132502162
GPT-2,To enter the castle she rode across a,7,-0.38181818181818183
GPT-2,The marathon runner worked very hard to improve his,16,0.36885087851967036
GPT-2,"After a long workout, Sam really needs to",14,0.49457101196195674
GPT-2,Ben asked his neighbors if he could borrow a,27,0.08436930388604193
GPT-2,Robert could fix the bike if he had the right,7,0.8366600265340757
GPT-2,"At halftime, the team received a speech from the",7,0.24532669073132912
GPT-2,"Satisfied with his dinner, Harold let out a huge",10,-0.24465960740319828
GPT-2,The polar opposite brothers often got into a,6,0.46203082772527304
GPT-2,The sitcom repeatedly used the same running,16,0.13907834095005567
GPT-2,The tourist said the coastal town smelled like,20,-0.04290005237002761
GPT-2,The children said the guard dog made them feel,12,0.1514689332227121
GPT-2,"Often swindling others, Emmett was known to be a",23,0.27768912301634363
GPT-2,"An eloquent speaker, Ryder was often asked to",21,0.12037164917825545
GPT-2,The frazzled mother gave her son candy to,34,0.2618239742933828
GPT-2,Many religious accounts of the afterlife involve,28,0.15432755171847135
GPT-2,The baseball player always used his lucky catcher's,4,-0.632455532033676
GPT-2,"Before leaving for the party, Kim dabbed on some",22,0.1730807236615379
GPT-2,Her friend said the story was nothing but,30,0.1390026511386412
GPT-2,"The broken, swinging crane had the potential to",21,0.4041420754144907
GPT-2,The protein was coded directly by the,36,0.09311889436667649
GPT-2,Adam went to the mall to buy a new,28,0.28944112110544257
GPT-2,Hannah procrastinates until right before her work is,5,-0.026315789473684213
GPT-2,To make her fancy dress she needed some,21,0.1515777580828982
GPT-2,"Instead of buying a small container, Thomas bought a",33,0.06561909388519083
GPT-2,In her town having hair so short was,46,0.2780473281976983
