schema_version,dataset_family,dataset,condition,item_id,group_id,context_id,generation_frame,generation_prompt,trigger,query,human_outcome,human_yes,human_total,human_rate,human_count_status,trigger_logprob_sum,query_logprob_sum,trigger_logprob_mean,query_logprob_mean,trigger_token_count,query_token_count,trigger_tokenization_mode,query_tokenization_mode,x_but_not_y_applicable,x_but_not_y_prompt,x_but_not_y_logprob_sum,x_but_not_y_logprob_mean,x_but_not_y_token_count,x_but_not_y_tokenization_mode,model_name,model_revision,model_provenance_complete,source_human_file,source_score_file,experiment
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::12,item::12,ESI::12,no_frame,The sales will ,double,triple,query_excluded,21,40,0.525,exact,-8.274133682250977,-10.664758682250977,-8.274133682250977,-10.664758682250977,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::13,item::13,ESI::13,no_frame,That candidate is ,equally,more,query_excluded,27,40,0.675,exact,-8.422391891479492,-5.578641891479492,-8.422391891479492,-5.578641891479492,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::14,item::14,ESI::14,no_frame,The movie is ,funny,hilarious,query_excluded,2,40,0.05,exact,-5.427008628845215,-6.583258628845215,-5.427008628845215,-6.583258628845215,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::15,item::15,ESI::15,no_frame,The movie is ,good,excellent,query_excluded,12,40,0.3,exact,-5.552008628845215,-6.427008628845215,-5.552008628845215,-6.427008628845215,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::16,item::16,ESI::16,no_frame,The winner was ,happy,ecstatic,query_excluded,2,40,0.05,exact,-9.236766815185549,-11.396923065185549,-9.236766815185549,-11.396923065185549,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::17,item::17,ESI::17,no_frame,The problem is ,hard,unsolvable,query_excluded,23,40,0.575,exact,-7.556648254394531,-10.230670034885406,-7.556648254394531,-5.115335017442703,1,2,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::18,item::18,ESI::18,no_frame,The toxin is ,harmful,deadly,query_excluded,8,40,0.2,exact,-7.066303730010986,-6.816303730010986,-7.066303730010986,-6.816303730010986,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::19,item::19,ESI::19,no_frame,There is water ,here,everywhere,query_excluded,20,40,0.5,exact,-4.524805068969727,-2.5248050689697266,-4.524805068969727,-2.5248050689697266,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::20,item::20,ESI::20,no_frame,The boy is ,hungry,starving,query_excluded,8,40,0.2,exact,-6.48909854888916,-11.11409854888916,-6.48909854888916,-11.11409854888916,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::21,item::21,ESI::21,no_frame,The student is ,intelligent,brilliant,query_excluded,2,40,0.05,exact,-8.386919021606445,-9.043169021606444,-8.386919021606445,-9.043169021606444,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::22,item::22,ESI::22,no_frame,Chris's opponent was ,intimidating,terrifying,query_excluded,7,40,0.175,exact,-11.491597175598145,-11.890034675598145,-11.491597175598145,-11.890034675598145,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::23,item::23,ESI::23,no_frame,The coast was ,largely,totally,query_excluded,28,40,0.7,exact,-6.757298469543457,-7.757298469543457,-6.757298469543457,-7.757298469543457,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::24,item::24,ESI::24,no_frame,The princess ,likes,loves,query_excluded,4,40,0.1,exact,-7.078839302062988,-6.016339302062988,-7.078839302062988,-6.016339302062988,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::25,item::25,ESI::25,no_frame,Bill's score ,matches,exceeds,query_excluded,35,40,0.875,exact,-11.801799774169922,-11.801799774169922,-11.801799774169922,-11.801799774169922,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::26,item::26,ESI::26,no_frame,Peter's answers were ,mostly,entirely,query_excluded,35,40,0.875,exact,-5.582132339477539,-7.019632339477539,-5.582132339477539,-7.019632339477539,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::27,item::27,ESI::27,no_frame,The house is ,old,ancient,query_excluded,13,40,0.325,exact,-6.236196517944336,-9.829946517944336,-6.236196517944336,-9.829946517944336,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::28,item::28,ESI::28,no_frame,Mistakes happened ,once,twice,query_excluded,28,40,0.7,exact,-6.100472927093506,-8.069223403930664,-6.100472927093506,-8.069223403930664,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::29,item::29,ESI::29,no_frame,Jimmy writes books ,or,and,query_excluded,10,40,0.25,exact,-8.499832153320312,-2.4998319149017334,-8.499832153320312,-2.4998319149017334,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::30,item::30,ESI::30,no_frame,The teenager is ,overweight,obese,query_excluded,4,40,0.1,exact,-9.118474006652832,-10.962224006652832,-9.118474006652832,-10.962224006652832,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::31,item::31,ESI::31,no_frame,The measure was supported ,overwhelmingly,unanimously,query_excluded,24,40,0.6,exact,-5.936697483062744,-5.561697483062744,-5.936697483062744,-5.561697483062744,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::32,item::32,ESI::32,no_frame,The wine is ,palatable,delicious,query_excluded,19,40,0.475,exact,-12.664220809936523,-6.555606842041016,-6.332110404968262,-6.555606842041016,2,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::33,item::33,ESI::33,no_frame,The tank is ,partially,completely,query_excluded,38,40,0.95,exact,-6.54369068145752,-6.04369068145752,-6.54369068145752,-6.04369068145752,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::34,item::34,ESI::34,no_frame,The club ,permits,requires,query_excluded,26,40,0.65,exact,-11.093679428100586,-7.018483638763428,-11.093679428100586,-7.018483638763428,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::35,item::35,ESI::35,no_frame,Ann's speech was ,polished,impeccable,query_excluded,2,40,0.05,exact,-8.186553955078125,-9.967803955078123,-8.186553955078125,-9.967803955078123,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::36,item::36,ESI::36,no_frame,Success is ,possible,certain,query_excluded,33,40,0.825,exact,-4.63045597076416,-8.06795597076416,-4.63045597076416,-8.06795597076416,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::37,item::37,ESI::37,no_frame,The girl is ,pretty,beautiful,query_excluded,3,40,0.075,exact,-5.935591697692871,-5.748091697692871,-5.935591697692871,-5.748091697692871,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::38,item::38,ESI::38,no_frame,The residents are ,primarily,exclusively,query_excluded,31,40,0.775,exact,-6.7557549476623535,-9.349504470825195,-6.7557549476623535,-9.349504470825195,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::39,item::39,ESI::39,no_frame,A delay will ,probably,necessarily,query_excluded,22,40,0.55,exact,-5.099481582641602,-9.036981582641602,-5.099481582641602,-9.036981582641602,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::40,item::40,ESI::40,no_frame,The city ,reduced,eliminated,query_excluded,32,40,0.8,exact,-11.502735137939451,-11.686328887939451,-11.502735137939451,-11.686328887939451,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::41,item::41,ESI::41,no_frame,Stu's daughter was ,scared,petrified,query_excluded,1,40,0.025,exact,-8.888201713562012,-11.639711056370288,-8.888201713562012,-3.8799036854567626,1,3,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::42,item::42,ESI::42,no_frame,Kaye's illness was ,serious,life-threatening,query_excluded,3,40,0.075,exact,-5.447173118591309,-6.530290246009827,-5.447173118591309,-3.2651451230049133,1,2,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::43,item::43,ESI::43,no_frame,The two paintings are ,similar,identical,query_excluded,29,40,0.725,exact,-2.976595401763916,-4.351595401763916,-2.976595401763916,-4.351595401763916,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::44,item::44,ESI::44,no_frame,The train ,slowed,stopped,query_excluded,33,40,0.825,exact,-7.150313377380371,-5.587813377380371,-7.150313377380371,-5.587813377380371,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::45,item::45,ESI::45,no_frame,The fish is ,small,tiny,query_excluded,7,40,0.175,exact,-5.956043720245361,-8.831043243408203,-5.956043720245361,-8.831043243408203,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::46,item::46,ESI::46,no_frame,The shirt is ,snug,tight,query_excluded,4,40,0.1,exact,-9.75946807861328,-7.165718078613281,-9.75946807861328,-7.165718078613281,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::47,item::47,ESI::47,no_frame,Cecilia trusts ,some,all,query_excluded,37,40,0.925,exact,-6.793549060821533,-5.856049060821533,-6.793549060821533,-5.856049060821533,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::48,item::48,ESI::48,no_frame,The runner ,started,finished,query_excluded,11,40,0.275,exact,-6.553467750549316,-5.115967750549316,-6.553467750549316,-5.115967750549316,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::49,item::49,ESI::49,no_frame,The plant ,survived,thrived,query_excluded,10,40,0.25,exact,-9.514934539794922,-12.272131204605104,-9.514934539794922,-6.136065602302551,1,2,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::50,item::50,ESI::50,no_frame,The worker is ,tired,exhausted,query_excluded,1,40,0.025,exact,-6.885149955749512,-9.166399955749512,-6.885149955749512,-9.166399955749512,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::51,item::51,ESI::51,no_frame,Joey's parents ,tolerate,encourage,query_excluded,26,40,0.65,exact,-13.574705123901367,-8.762205123901367,-13.574705123901367,-8.762205123901367,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
